50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.978963,,,,,,,,,,,,fdec7036-579c-455c-91a8-2d48a751cdf3,2253,,,"[56.1, 44.9]",3939988,69,,,,-0.0513833,,Right Foot,,,,"[73.6, 44.0]",Ground Pass,,17.523129,,,Luis Francisco Romo Barrón,26386.0,,,,,,,2,Regular Play,César Jasib Montes Castro,26368.0,Right Center Back,133,Mexico,794,['27a809dc-2656-4132-9002-58f5bdba6d72'],51,,,,,,,,,,,,,,,,,Mexico,794,00:24:51.332,Pass,
,,,,,,,,,,,,,,,,,0.977909,,,,,,,,,,,,ea272bec-276f-46f1-b149-5249ca7cbece,2256,,,"[72.6, 37.4]",3939988,69,,,,-0.6218879,,Right Foot,,,,"[89.9, 25.0]",Ground Pass,,21.284971,,,Guillermo Martínez Ayala,75305.0,,,,,,,2,Regular Play,Luis Francisco Romo Barrón,26386.0,Right Defensive Midfield,133,Mexico,794,['b848f0e5-8b65-4836-81d8-3ffe8393652e'],53,,,,,,,,,,,,,,,,,Mexico,794,00:24:53.786,Pass,
,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,f2e7a75f-0ac5-4893-941e-9c5b92fbd3c9,2259,,,"[89.9, 25.0]",3939988,69,,,,-1.3166119,,Left Foot,,,,"[95.2, 4.6]",Ground Pass,,21.077238,,,Julián Andrés Quiñones Quiñones,35375.0,,,,,,,2,Regular Play,Guillermo Martínez Ayala,75305.0,Left Center Forward,133,Mexico,794,['e6055d87-b9c4-42f9-a57a-766049a777a6'],54,,,,,,,,,,,,,,,,,Mexico,794,00:24:54.820,Pass,
,,,,,,,,,,,,,,,,,1.201468,,,,,,,,,,,,fcbf2c01-b15b-4286-93d9-ecc5fba6619b,2262,,,"[93.3, 14.7]",3939988,70,,,,0.9015774,,Right Foot,True,,,"[112.6, 39.1]",High Pass,,31.110289,Incomplete,,Guillermo Martínez Ayala,75305.0,,,,,,,2,Regular Play,Julián Andrés Quiñones Quiñones,35375.0,Left Midfield,133,Mexico,794,"['298497d2-c691-49cf-9662-0ee20ae74bb1', 'de1b7bf5-9461-41f7-9b44-a8445d48314b']",0,,,,,,,,,,,,,,,,,Mexico,794,00:25:00.621,Pass,
,,,,,,,,,,,,,,,,,1.345148,,,,,,,,,,,,3d9af338-8d72-4ced-b139-0bb894c36e04,2268,,,"[95.2, 50.8]",3939988,70,,,,-2.1423876,75dc5690-78a7-4825-b995-55e9900af66e,Right Foot,,,,"[82.4, 30.9]",Ground Pass,,23.66115,,,Johan Felipe Vásquez Ibarra,26336.0,True,,,,,,2,Regular Play,Carlos Uriel Antuna Romero,15452.0,Right Midfield,133,Mexico,794,['d6614fd4-9071-426f-8a85-e85978282343'],8,,,,,,,,,,,,,,,,,Mexico,794,00:25:08.211,Pass,
,,,,,,,,,,,,,,,,,2.811275,,,,,,,,,,,,e7d36582-c2ae-48e0-b62d-093110a06459,2273,,,"[11.2, 47.2]",3939988,70,,,,0.27470595,,Drop Kick,,,,"[81.1, 66.9]",High Pass,,72.623,Unknown,,Kevin José Rodríguez Cortez,348757.0,,,,,,,2,From Keeper,Alexander Domínguez Carabalí,32677.0,Goalkeeper,135,Ecuador,3565,['fc848dee-ef2a-4f6b-bfec-d8182499f68c'],33,,,,,,,,,,,,,,,,,Ecuador,3565,00:25:33.575,Pass,
,,,,,,,,,,,,,,,,,1.139557,,,,,,,,,,,,e5a08e14-ca91-4414-beca-25821ede8801,2278,,,"[83.4, 66.7]",3939988,71,,,,-0.7512651,,Right Foot,,,,"[104.6, 46.9]",High Pass,,29.008274,Incomplete,,,,,,,,,Free Kick,2,From Free Kick,Moisés Isaac Caicedo Corozo,37726.0,Left Defensive Midfield,136,Ecuador,3565,['c3c5f3f5-6c9c-48c5-81ab-735bcdd74959'],11,,,,,,,,,,,,,,,,,Ecuador,3565,00:26:11.829,Pass,
,,,,,,,,,,,,,,,,,0.941824,,,,,,,,,,,,21f342ae-95dd-4b0c-b43d-52b9ac6f0b0a,2282,,,"[59.5, 59.9]",3939988,71,,,,1.9588702,,Right Foot,,,,"[53.0, 75.8]",Ground Pass,,17.17731,,,Moisés Isaac Caicedo Corozo,37726.0,,,,,,,2,From Free Kick,Angelo Smit Preciado Quiñónez,37737.0,Right Back,136,Ecuador,3565,['ad9fa8e8-35ad-403c-a157-8241e7bb3ad5'],21,,,,,,,,,,,,,,,,,Ecuador,3565,00:26:21.774,Pass,
,,,,,,,,,,,,,,,,,2.97011,,,,,,,,,,,,eb05e6cd-fe23-4a1d-a8c8-c0f77d7bf0d5,2285,,,"[46.6, 76.4]",3939988,71,,,,-2.5391715,,Left Foot,,,,"[14.9, 54.6]",Ground Pass,,38.472458,,,Alexander Domínguez Carabalí,32677.0,,,,,,,2,From Free Kick,Moisés Isaac Caicedo Corozo,37726.0,Left Defensive Midfield,136,Ecuador,3565,['f968138a-2d62-425f-a61c-ed5bb569105f'],24,,,,,,,,,,,,,,,,,Ecuador,3565,00:26:24.049,Pass,
,,,,,,,,,,,,,,,,,7.064126,,,,,,,,,,,,d51b6e35-61f8-48bb-8d7f-eeb5634ed5de,2287,,,"[14.9, 54.8]",3939988,71,,,,0.35802495,,Right Foot,,,,"[73.7, 76.8]",High Pass,,62.780888,,,Kevin José Rodríguez Cortez,348757.0,,,,,,,2,From Free Kick,Alexander Domínguez Carabalí,32677.0,Goalkeeper,136,Ecuador,3565,['6f036645-d8e5-4106-8572-a1ddbdd9c70f'],27,,,,,,,,,,,,,,,,,Ecuador,3565,00:26:27.019,Pass,
,,,,,,,,,,,,,,,,,0.882422,,,,,,,,,,,,d67a8dd8-43c5-441a-93cb-60551504ce64,2290,,,"[74.0, 76.1]",3939988,71,,,,-1.4056476,,Right Foot,,,,"[75.5, 67.1]",Ground Pass,,9.124144,,,Alan Steve Minda García,123625.0,,,,,,,2,From Free Kick,Kevin José Rodríguez Cortez,348757.0,Right Center Forward,136,Ecuador,3565,['42daa980-dab2-4efd-ac36-57f0d23b08dd'],34,,,,,,,,,,,,,,,,,Ecuador,3565,00:26:34.153,Pass,
,,,,,,,,,,,,,,,,,1.72445,,,,,,,,,,,,544dafc1-a207-47b7-ac77-c33f4ce70781,2296,,,"[94.4, 62.9]",3939988,72,,,,-0.9835361,,Right Foot,True,,,"[115.1, 31.8]",High Pass,,37.35907,,,Alan Steve Minda García,123625.0,,,,,,Free Kick,2,From Free Kick,Moisés Isaac Caicedo Corozo,37726.0,Left Defensive Midfield,137,Ecuador,3565,['174b1def-6095-4860-9080-6c16e1742599'],52,,,,,,,,,,,,,,,,,Ecuador,3565,00:27:52.989,Pass,
,,,,,,,,,,,,,,,,,0.678134,,,,,,,,,,,,3da14aac-5741-446f-a3ba-23f6ee78266d,2299,,,"[115.7, 32.8]",3939988,72,,,True,1.6325732,,,,,,"[115.1, 42.5]",High Pass,,9.718539,Incomplete,,,,,,,,,,2,From Free Kick,Alan Steve Minda García,123625.0,Right Midfield,137,Ecuador,3565,"['977659a6-1901-440a-a678-254b26b08a95', 'a023515b-f08a-4ed0-a0e7-d4c4842949de']",54,,,,,,,,,,,,,,,,,Ecuador,3565,00:27:54.713,Pass,True
,,,,,,,,,,,,,,,,,1.642782,,,,,,,,,,,,87abd558-e531-4e0f-99f6-9977eb39850d,2302,,,"[25.7, 31.8]",3939988,72,,,,0.511997,,Head,,,,"[37.8, 38.6]",Low Pass,,13.879842,,,Carlos Uriel Antuna Romero,15452.0,,,,,,Recovery,2,Regular Play,Santiago Tomás Giménez,31053.0,Right Center Forward,138,Mexico,794,['02a7bc57-fe99-42eb-8a84-0eb632fdd044'],57,,,,,,,,,,,,,,,,,Mexico,794,00:27:57.794,Pass,
,,,,,,,,,,,,,,,,,1.687196,,,,,,,,,,,,5069b45d-ecc7-419b-a33d-526d3ba37324,2310,,,"[96.5, 8.8]",3939988,73,,,,2.526503,,Right Foot,,,,"[87.3, 15.3]",Ground Pass,,11.264546,,,Julián Andrés Quiñones Quiñones,35375.0,,,,,,,2,Regular Play,Carlos Uriel Antuna Romero,15452.0,Right Midfield,138,Mexico,794,['b964c9e9-59ff-47ac-beef-28c8783caea8'],7,,,,,,,,,,,,,,,,,Mexico,794,00:28:07.801,Pass,
,,,,,,,,,,,,,,,,,0.184611,,,,,,,,,,,,66bdb155-8158-4e9e-bc9c-9b8dc4a4ac1c,2313,,,"[84.7, 19.5]",3939988,73,,,,1.3796118,,Right Foot,,,,"[85.3, 22.6]",Ground Pass,,3.1575308,Incomplete,,Luis Gerardo Chávez Magallón,28825.0,,,,,,,2,Regular Play,Julián Andrés Quiñones Quiñones,35375.0,Left Midfield,138,Mexico,794,"['37df2fce-2f3b-4ef2-bfe0-a9306d9f9cba', 'a2e6ba16-dc48-4fef-bcdf-bf4e9912446b']",11,,,,,,,,,,,,,,,,,Mexico,794,00:28:11.123,Pass,
,,,,,,,,,,,,,,,,,1.103446,,,,,,,,,,,,2d324405-4211-4e56-8e36-d09f9cdac1ba,2319,,,"[89.2, 0.1]",3939988,75,True,,,2.6600897,,,,,,"[78.1, 5.9]",Low Pass,,12.523977,,,Luis Gerardo Chávez Magallón,28825.0,,,,,,Throw-in,2,From Throw In,Gerardo Daniel Arteaga Zamora,27896.0,Left Back,139,Mexico,794,['35c83b6a-b396-4f22-b96f-6d5ff20eef2f'],36,,,,,,,,,,,,,,,,,Mexico,794,00:30:36.915,Pass,
,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,7f17a644-2171-4fac-aeaa-621feb3aaf2c,2322,,,"[78.1, 5.9]",3939988,75,True,,,2.2335258,,Left Foot,,,,"[65.3, 22.3]",Ground Pass,,20.803846,,,Johan Felipe Vásquez Ibarra,26336.0,,,,,,,2,From Throw In,Luis Gerardo Chávez Magallón,28825.0,Left Defensive Midfield,139,Mexico,794,['cb5cd317-afe6-4dd7-98ee-282b7b47ea70'],38,,,,,,,,,,,,,,,,,Mexico,794,00:30:38.441,Pass,
,,,,,,,,,,,,,,,,,2.69109,,,,,,,,,,,,69a2aafc-2be8-4573-9f4a-81457e220045,2324,,,"[68.4, 21.8]",3939988,75,,,,0.68471485,,Left Foot,,,,"[106.0, 52.5]",High Pass,,48.541218,Incomplete,,Carlos Uriel Antuna Romero,15452.0,,,,,,,2,From Throw In,Johan Felipe Vásquez Ibarra,26336.0,Left Center Back,139,Mexico,794,"['a7ec2d05-879c-4e8f-bb39-d9a444e78c3e', 'ae4d53a9-0971-455b-bb2d-1487471f7a58']",43,,,,,,,,,,,,,,,,,Mexico,794,00:30:43.685,Pass,
,,,,,,,,,,,,,,,,,3.571358,,,,,,,,,,,,a1bb2626-71d8-4e4b-91d0-1cd4a2bdf9c4,2333,,,"[7.0, 45.4]",3939988,76,,,,0.2740835,,Right Foot,,,,"[76.0, 64.8]",High Pass,,71.67538,Unknown,,Ángel Israel Mena Delgado,28511.0,,,,,,Goal Kick,2,From Goal Kick,Alexander Domínguez Carabalí,32677.0,Goalkeeper,140,Ecuador,3565,['1045426f-8ff6-4f7c-a631-d25b039fab10'],21,,,,,,,,,,,,,,,,,Ecuador,3565,00:31:21.753,Pass,
,,,,,,,,,,,,,,,,,2.22202,,,,,,,,,,,,ea09dc9d-83f8-4fa0-bbc3-0a31988c3dfc,2337,,,"[44.4, 14.0]",3939988,76,,,,2.4861991,,Left Foot,,,,"[28.4, 26.3]",Ground Pass,,20.181427,,,Julio José González Vela-Alvizu,36949.0,,,,,,Free Kick,2,From Free Kick,Johan Felipe Vásquez Ibarra,26336.0,Left Center Back,141,Mexico,794,['c8a6a5b9-478a-4698-9ee4-7201a9109da7'],38,,,,,,,,,,,,,,,,,Mexico,794,00:31:38.108,Pass,
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,25c7721d-b9ab-426e-9712-3bff9de61b66,2340,,,"[31.8, 30.2]",3939988,76,,,,1.1744283,,Left Foot,,,,"[43.1, 57.2]",Ground Pass,,29.269268,,,César Jasib Montes Castro,26368.0,,,,,,,2,From Free Kick,Julio José González Vela-Alvizu,36949.0,Goalkeeper,141,Mexico,794,['32560a84-48c9-4205-af05-518b7269bf8f'],40,,,,,,,,,,,,,,,,,Mexico,794,00:31:40.976,Pass,
,,,,,,,,,,,,,,,,,0.927543,,,,,,,,,,,,6ec62cf4-2d0b-49bc-b14d-1c473199bbec,2343,,,"[55.6, 68.2]",3939988,76,,,,0.5439698,,Right Foot,,,,"[68.0, 75.7]",Ground Pass,,14.491722,,,Jorge Eduardo Sánchez Ramos,26406.0,,,,,,,2,From Free Kick,César Jasib Montes Castro,26368.0,Right Center Back,141,Mexico,794,['45f1265a-82e9-4a67-a94f-1bc95ca24e85'],46,,,,,,,,,,,,,,,,,Mexico,794,00:31:46.560,Pass,
,,,,,,,,,,,,,,,,,0.703946,,,,,,,,,,,,8af69fcb-8d02-4835-9b3a-683228759cfa,2346,,,"[68.7, 73.8]",3939988,76,,,,-0.17073521,,Right Foot,,,,"[74.5, 72.8]",Ground Pass,,5.885576,,,Carlos Uriel Antuna Romero,15452.0,,,,,,,2,From Free Kick,Jorge Eduardo Sánchez Ramos,26406.0,Right Back,141,Mexico,794,['7ed8d883-5f18-4077-9242-8ba473451330'],48,,,,,,,,,,,,,,,,,Mexico,794,00:31:48.582,Pass,
,,,,,,,,,,,,,,,,,0.623411,,,,,,,,,,,,9d1c4fea-71e9-49f0-9577-54ffae3168b1,2350,,,"[74.7, 74.5]",3939988,76,,,,-2.1150768,,Left Foot,,,,"[70.1, 66.9]",Ground Pass,,8.883693,,,Jorge Eduardo Sánchez Ramos,26406.0,,,,,,,2,From Free Kick,Carlos Uriel Antuna Romero,15452.0,Right Midfield,141,Mexico,794,"['37870b46-cd63-4317-859e-109eeaa07cdd', '888cc5d0-ef3f-4d0f-a967-9425c1cf5b97']",49,,,,,,,,,,,,,,,,,Mexico,794,00:31:49.909,Pass,True
,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,36074299-16d9-4658-9046-92ea0f173de8,2358,,,"[70.6, 45.4]",3939988,76,,,,-1.4340153,,Right Foot,,,,"[75.5, 9.8]",Ground Pass,,35.93564,,,Gerardo Daniel Arteaga Zamora,27896.0,,,,,,,2,From Free Kick,Jorge Eduardo Sánchez Ramos,26406.0,Right Back,141,Mexico,794,['b6ac103e-6cc8-417b-97ba-686cdbd4a968'],54,,,,,,,,,,,,,,,,,Mexico,794,00:31:54.015,Pass,
,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,54d154b6-4569-4445-91e3-cf9e607b208e,2361,,,"[78.9, 8.8]",3939988,76,,,,-0.3712596,,Left Foot,,,,"[92.0, 3.7]",Ground Pass,,14.057738,,,Julián Andrés Quiñones Quiñones,35375.0,,,,,,,2,From Free Kick,Gerardo Daniel Arteaga Zamora,27896.0,Left Back,141,Mexico,794,['a30f3ed6-60b0-45d9-9630-647e582f2e89'],57,,,,,,,,,,,,,,,,,Mexico,794,00:31:57.030,Pass,
,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,49592073-16b7-4c2f-9cdd-06d6a1271689,2365,,,"[81.3, 11.1]",3939988,77,,,,2.7342236,,Right Foot,,,,"[66.7, 17.4]",Ground Pass,,15.9012575,,,Luis Gerardo Chávez Magallón,28825.0,,,,,,,2,From Free Kick,Julián Andrés Quiñones Quiñones,35375.0,Left Midfield,141,Mexico,794,['ea5a970a-91a9-490f-9d9d-0e327e224a84'],2,,,,,,,,,,,,,,,,,Mexico,794,00:32:02.132,Pass,
,,,,,,,,,,,,,,,,,1.413992,,,,,,,,,,,,780a6546-75c5-4583-a9e4-561689736826,2368,,,"[75.6, 15.3]",3939988,77,,,,0.80872726,,Left Foot,,,,"[104.9, 46.0]",High Pass,,42.437954,Incomplete,,Santiago Tomás Giménez,31053.0,,,,,,,2,From Free Kick,Luis Gerardo Chávez Magallón,28825.0,Left Defensive Midfield,141,Mexico,794,"['1ab74ed4-398a-4caa-943c-8d7e3cf25f6e', '863ed16d-7f6c-4505-b21e-64e5495d4b27']",6,,,,,,,,,,,,,,,,,Mexico,794,00:32:06.812,Pass,
,,,,,,,,,,,,,,,,,2.041923,,,,,,,,,,,,64389332-6607-4465-984a-0dbf1e8a8874,2373,,,"[83.6, 46.0]",3939988,77,,,,0.92306095,,Right Foot,,,,"[100.7, 68.6]",High Pass,,28.340254,,,Carlos Uriel Antuna Romero,15452.0,,,,,,,2,From Free Kick,Luis Francisco Romo Barrón,26386.0,Right Defensive Midfield,141,Mexico,794,['2b5503c8-e30e-43b2-a474-8341e1ab1ac4'],11,,,,,,,,,,,,,,,,,Mexico,794,00:32:11.135,Pass,
,,,,,,,,,,,,,,,,,1.379945,,,,,,,,,,,,53b34174-5908-4efb-91dc-2cef835864a0,2377,,,"[85.3, 73.8]",3939988,77,,,,-0.19342732,,Right Foot,,,,"[95.0, 71.9]",Ground Pass,,9.884331,,,Luis Francisco Romo Barrón,26386.0,,,,,,,2,From Free Kick,Carlos Uriel Antuna Romero,15452.0,Right Midfield,141,Mexico,794,['f338a18a-4096-4e4c-b502-9647f12ab53e'],18,,,,,,,,,,,,,,,,,Mexico,794,00:32:18.569,Pass,
,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,e2f8f868-8e3c-477f-b85b-2baa05542c36,2380,,,"[90.2, 64.9]",3939988,77,,,,1.1670022,,Left Foot,,,,"[94.9, 75.9]",Ground Pass,,11.962023,,,Jorge Eduardo Sánchez Ramos,26406.0,,,,,,,2,From Free Kick,Luis Francisco Romo Barrón,26386.0,Right Defensive Midfield,141,Mexico,794,['24a27d24-c117-4ea8-ae68-dd87a18337c5'],24,,,,,,,,,,,,,,,,,Mexico,794,00:32:24.006,Pass,
,,,,,,,,,,,,,,,,,1.015831,,,,,,,,,,,,89603844-2ff6-4d4e-9ccc-4475f3771f15,2384,,,"[95.4, 75.6]",3939988,77,,,,-0.028977394,,Right Foot,,,,"[102.3, 75.4]",Ground Pass,,6.902898,,,Carlos Uriel Antuna Romero,15452.0,,,,,,,2,From Free Kick,Jorge Eduardo Sánchez Ramos,26406.0,Right Back,141,Mexico,794,"['5716479d-0c54-45dd-a105-4c5bc30b485b', '761b02d9-4055-46d6-b27f-8cac132d5a36']",26,,,,,,,,,,,,,,,,,Mexico,794,00:32:26.280,Pass,True
,,,,,,,,,,,,,,,,,1.101334,,,,,,,,,,,,cef5b54a-d419-4403-a486-dc6315199685,2387,,,"[106.0, 74.1]",3939988,77,,,,-1.616789,,Right Foot,,,,"[104.9, 50.2]",Ground Pass,,23.9253,,,Luis Francisco Romo Barrón,26386.0,,,,,,,2,From Free Kick,Carlos Uriel Antuna Romero,15452.0,Right Midfield,141,Mexico,794,['b11cd1bf-9711-4b70-8cba-e0db6c7a7ce8'],28,,,,,,,,,,,,,,,,,Mexico,794,00:32:28.013,Pass,
