50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.737,,,,,,,,,,,,93ff18ab-d2c9-4605-8ecd-5d410e87c5a2,17,,"[35.1, 43.1]",3939987,0,,,,-1.0103047,,Left Foot,,,,"[61.9, 0.4]",,High Pass,,50.41359,,Out,,,,,True,,,,1,From Kick Off,Ethan Pinnock,4610.0,Left Center Back,2,Jamaica,2305,,13,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:13.106,Pass,
,,,,,,,,,,,,,,,1.178802,,,,,,,,,,,,445ae2d8-f815-4973-a06c-b2ccf20864a8,18,,"[64.6, 80.0]",3939987,0,,,,-0.36374265,,,,,,"[82.2, 73.3]",,Low Pass,,18.832153,,Incomplete,,José Salomón Rondón Giménez,4041.0,,,,,Throw-in,1,From Throw In,Alexander David González Sibulo,24168.0,Right Back,3,Venezuela,3563,"['0a88ccff-e01b-445e-b09e-9c210be2e3f2', 'b09ac6e8-8958-4f24-8514-0fdd4874d434']",31,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:31.742,Pass,
,,,,,,,,,,,,,,,1.187965,,,,,,,,,,,,6b0ee892-89d2-4136-98b5-0ffeeb2b3023,21,,"[73.4, 80.0]",3939987,0,,,,-0.75922614,,,,,,"[83.2, 70.7]",,High Pass,,13.510366,,,,José Salomón Rondón Giménez,4041.0,,,,,Throw-in,1,From Throw In,Alexander David González Sibulo,24168.0,Right Back,4,Venezuela,3563,['9afe5121-c8c9-40d8-8ed3-d45bb50a0f11'],47,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:47.870,Pass,
,,,,,,,,,,,,,,,1.798923,,,,,,,,,,,,63c32e49-7c9b-407b-9a9f-9a16920e4116,23,,"[83.2, 70.7]",3939987,0,,,,-0.4636476,,Head,,,,"[90.4, 67.1]",,High Pass,,8.049845,,Incomplete,,Eduard Alexander Bello Gil,35785.0,,,,,,1,From Throw In,José Salomón Rondón Giménez,4041.0,Center Forward,4,Venezuela,3563,"['749099f7-f722-4e25-a709-24bb65de19e4', 'fbf4333b-9938-4119-80ff-9c7bc050ee55']",49,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:49.098,Pass,
,,,,,,,,,,True,,,,,1.946253,,,,,,,,,,,,749099f7-f722-4e25-a709-24bb65de19e4,26,,"[29.7, 13.0]",3939987,0,,,True,2.374919,,,,,,"[16.1, 26.1]",,High Pass,,18.88306,,,,Michael Hector,16768.0,,,,,Interception,1,Regular Play,Damion Lowe,49120.0,Right Defensive Midfield,5,Jamaica,2305,"['63c32e49-7c9b-407b-9a9f-9a16920e4116', '8a179a2c-a895-4bc3-87be-edba0ad83818', 'de22aeb2-3a43-4c8c-84e9-42a4c20bd82c']",50,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:50.897,Pass,True
,,,,,,,,,,,,,,,4.334095,,,,,,,,,,,,28d3d102-d71a-4fd0-ab2a-13ae5f22b901,30,,"[15.4, 25.6]",3939987,0,,,,0.20279726,,Right Foot,,,,"[72.3, 37.3]",,High Pass,,58.090446,,Incomplete,,,,,,,,,1,Regular Play,Michael Hector,16768.0,Center Back,5,Jamaica,2305,"['a0d07392-3e8a-488c-b84b-5847ba5474dd', 'bcd9e228-3f44-493f-9321-9db02a84abb7']",52,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:52.873,Pass,True
,,,,,,,,,,,,,,,2.619943,,,,,,,,,,,,a0d07392-3e8a-488c-b84b-5847ba5474dd,31,,"[47.8, 42.8]",3939987,0,,,,-0.6287963,,Head,,,,"[56.6, 36.4]",,High Pass,,10.881176,,Unknown,,Yangel Clemente Herrera Ravelo,16249.0,,,,,Recovery,1,Regular Play,Wilker José Ángel Romero,47822.0,Left Center Back,5,Jamaica,2305,"['28d3d102-d71a-4fd0-ab2a-13ae5f22b901', 'f046b7b6-74da-43cd-a7f0-7b1e86ebf883']",57,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:57.207,Pass,
,,,,,,,,,,,,,,,1.374005,,,,,,,,,,,,8c9e6e97-746f-49f2-87aa-07902326c38d,35,,"[67.9, 48.0]",3939987,1,True,,,-1.9104022,,Right Foot,,,,"[62.0, 31.3]",,Ground Pass,,17.711578,,,,Kasey Palmer,3317.0,,,,,Free Kick,1,From Free Kick,Damion Lowe,49120.0,Right Defensive Midfield,6,Jamaica,2305,['6dc5aed2-b4a7-41d8-8a61-061e231612cf'],18,,,,,,,,,,,,,,,,,Jamaica,2305,00:01:18.657,Pass,
,,,,,,,,,,,,,,,1.399854,,,,,,,,,,,,46b7a3de-7e00-4c89-bc09-e7d58118dc87,37,,"[61.9, 31.1]",3939987,1,,,,-1.5589858,,Right Foot,,,,"[62.2, 5.7]",,Ground Pass,,25.401772,,,,Jonathan Bell,110050.0,,,,,,1,From Free Kick,Kasey Palmer,3317.0,Left Defensive Midfield,6,Jamaica,2305,['3440f3db-6073-4e08-834d-798b5a45e0e4'],20,,,,,,,,,,,,,,,,,Jamaica,2305,00:01:20.180,Pass,
,,,,,,,,,,,,,,,1.158503,,,,,,,,,,,,650b143b-c960-4b65-bd3c-77008cc92275,41,,"[62.0, 8.0]",3939987,1,,,,2.4526682,,Left Foot,,,,"[45.0, 22.0]",,Ground Pass,,22.022715,,,,Ethan Pinnock,4610.0,,,,,,1,From Free Kick,Jonathan Bell,110050.0,Left Wing Back,6,Jamaica,2305,['557b9e45-fade-4bf6-8f26-45f297f8b354'],22,,,,,,,,,,,,,,,,,Jamaica,2305,00:01:22.585,Pass,
