50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.388818,,,,,,,,,,,,,3ba9b6ec-9c48-4939-89a8-6da4c4bc5725,940,,"[92.2, 50.1]",3939970,29,,,,1.2055949,,Right Foot,,"[94.8, 56.9]",Ground Pass,,7.28011,,,,Mauricio Aníbal Isla Isla,18874.0,,,,,,1,From Throw In,Eduardo Jesús Vargas Rojas,27317.0,Center Forward,61,Chile,3562,"['3236844a-9414-4cee-adc5-5be3dadc2802', '488ea646-f850-4071-8a51-0082887ad8b0']",31,,,,,,,,,,,,,,,,,Chile,3562,00:29:31.760,Pass,True
,,,,,,,,,,,,,,,,,1.310962,,,,,,,,,,,,,15abecf7-9d26-4782-a347-2f62e70a1aab,944,,"[97.7, 52.1]",3939970,29,,,,-1.0467242,,Left Foot,,"[104.0, 41.2]",Ground Pass,,12.589679,,Incomplete,,,,,,,,,1,From Throw In,Mauricio Aníbal Isla Isla,18874.0,Right Back,61,Chile,3562,"['09484665-1a64-4549-b759-6484510ce09a', 'd09fa55f-4f73-4ee6-b78c-2d91b3a0020c']",33,,,,,,,,,,,,,,,,,Chile,3562,00:29:33.614,Pass,True
,,,,,,,,,,,,,,,,,2.65765,,,,,,,,,,,,,b9c710a9-e3f5-4a64-a920-31706ccf9cea,946,,"[58.8, 47.0]",3939970,29,,,,-0.16119091,,Head,,"[83.4, 43.0]",High Pass,,24.923082,,Incomplete,,,,,,,,Recovery,1,From Throw In,Igor Lichnovsky Osorio,26256.0,Right Center Back,61,Chile,3562,['d69e47e2-2f6b-439b-bcaf-d47d22df3ea9'],37,,,,,,,,,,,,,,,,,Chile,3562,00:29:37.386,Pass,
,,,,,,,,,,,,,,,,,0.782004,,,,,,,,,,,,,d69e47e2-2f6b-439b-bcaf-d47d22df3ea9,947,,"[36.7, 37.1]",3939970,29,,,,-0.7095207,,Head,,"[45.9, 29.2]",Low Pass,,12.126417,,,,Piero Aldair Quispe Córdova,101509.0,,,,,Recovery,1,Regular Play,Wilder José Cartagena Mendoza,6313.0,Center Defensive Midfield,62,Peru,784,"['3cf8aed0-fdb5-406d-8e65-4df39ce039da', 'b9c710a9-e3f5-4a64-a920-31706ccf9cea']",40,,,,,,,,,,,,,,,,,Peru,784,00:29:40.044,Pass,
,,,,,,,,,,,,,,,,,1.554278,,,,,,,,,,,,,5a612976-7f17-494b-86b0-d042c710e453,951,,"[49.9, 29.2]",3939970,29,,,,-0.11379201,,Right Foot,,"[67.4, 27.2]",Ground Pass,,17.613914,,,,Gianluca Lapadula Vargas,7143.0,,,,,,1,Regular Play,Piero Aldair Quispe Córdova,101509.0,Left Center Midfield,62,Peru,784,"['95f5ea65-c8a1-4190-b241-57c21f8cf003', 'ec0fe11a-325d-4d2a-9165-9cedf7e5360d']",41,,,,,,,,,,,,,,,,,Peru,784,00:29:41.829,Pass,True
,,,,,,,,,,,,,,,,,1.340984,,,,,,,,,,,,,24ec87c5-813b-4f32-9d4c-03044cde984f,954,,"[76.2, 23.7]",3939970,29,,,,-0.7727406,,Left Foot,,"[88.2, 12.0]",Ground Pass,,16.759773,,,,Édison Michael Flores Peralta,5525.0,,,,,,1,Regular Play,Gianluca Lapadula Vargas,7143.0,Right Center Forward,62,Peru,784,['89c0bc92-a471-432e-ae22-8d959a39fcfe'],44,,,,,,,,,,,,,,,,,Peru,784,00:29:44.363,Pass,
,,,,,,,,,,,,,,,,,2.049213,,,,,,,,,,,,,5e108f51-b94f-4987-a514-968985066aa9,962,,"[21.3, 76.1]",3939970,29,,,,-0.42952147,,Right Foot,,"[49.9, 63.0]",High Pass,,31.457432,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,1,Regular Play,Marcelino Ignacio Nuñez Espinoza,36532.0,Right Defensive Midfield,63,Chile,3562,"['6ffc0842-2f51-4d50-b96c-28f19de2979a', 'c65d56c2-0e48-4d92-8bc4-6c81c95c4951']",51,,,,,,,,,,,,,,,,,Chile,3562,00:29:51.790,Pass,True
,,,,,,,,,,,,,,,,,1.225156,,,,,,,,,,,,,71cf1bba-364a-4b6a-8665-6072be064eb1,968,,"[40.8, 69.5]",3939970,29,,,,0.12090276,,Right Foot,,"[62.2, 72.1]",High Pass,,21.557365,,,,Mauricio Aníbal Isla Isla,18874.0,,,,,Recovery,1,Regular Play,Erick Antonio Pulgar Farfán,7175.0,Left Defensive Midfield,63,Chile,3562,['f29565e2-7cac-44c0-8860-7fb387eead07'],54,,,,,,,,,,,,,,,,,Chile,3562,00:29:54.919,Pass,
,,,,,,,,,,,,,,,,,1.617307,,,,,,,,,,,,,b3e33ec6-f1b6-4615-89ce-67af93f5b204,973,,"[58.5, 17.1]",3939970,29,,,,2.6087487,,Right Foot,,"[46.8, 24.0]",Ground Pass,,13.583077,,,,Carlos Augusto Zambrano Ochandarte,36359.0,,,,,Recovery,1,Regular Play,Wilder José Cartagena Mendoza,6313.0,Center Defensive Midfield,64,Peru,784,"['367ac76e-cbe6-418a-ac2b-4d866877c418', 'a2d707ae-28a9-4b4d-85a2-7a44ef1eff69']",57,,,,,,,,,,,,,,,,,Peru,784,00:29:57.564,Pass,True
,,,,,,,,,,,,,,,,,1.358429,,,,,,,,,,,,,a1f87d2a-02f4-4348-98c8-1a0ae7fb6eb5,977,,"[46.5, 24.0]",3939970,29,,,,-0.07500355,,Left Foot,,"[81.1, 21.4]",High Pass,,34.69755,,,,Édison Michael Flores Peralta,5525.0,,,,,,1,Regular Play,Carlos Augusto Zambrano Ochandarte,36359.0,Center Back,64,Peru,784,['7874c0e9-0f47-41ff-8d31-ef01a15d921c'],59,,,,,,,,,,,,,,,,,Peru,784,00:29:59.419,Pass,
