,Country,Game,Total Links,Network Density,Diameter,Clustering Coefficient
0,France,1,52.72727272727273,0.8909090909090909,2.0,0.9038239538239538
1,France,2,46.0,0.9090909090909091,2.0,0.9141414141414141
2,France,3,28.818181818181817,0.9090909090909091,2.0,0.9108946608946608
3,France,4,57.0,0.8545454545454545,2.0,0.8945165945165946
4,France,5,50.54545454545455,0.9454545454545454,2.0,0.9452380952380952
5,France,6,37.18181818181818,0.8909090909090909,2.0,0.8923520923520925
6,France,Average,45.378787878787875,0.8999999999999999,2.0,0.9101611351611352
