,Country,Game,Total Links,Network Density,Diameter,Clustering Coefficient
0,Switzerland,1,23.727272727272727,0.9454545454545454,2.0,0.9393939393939394
1,Switzerland,2,36.81818181818182,0.9272727272727272,2.0,0.9325396825396826
2,Switzerland,3,53.63636363636363,0.9636363636363636,2.0,0.9676767676767678
3,Switzerland,4,43.81818181818182,0.9454545454545454,2.0,0.9525252525252526
4,Switzerland,5,32.72727272727273,0.9090909090909091,2.0,0.9051226551226551
5,Switzerland,Average,38.14545454545454,0.9381818181818181,2.0,0.9394516594516595
