,Country,Game,Total Links,Network Density,Diameter,Clustering Coefficient,Centralisation
0,United States,1,23.90909090909091,0.8363636363636363,2.0,0.8647907647907648,0.19999999999999996
1,United States,2,11.272727272727273,0.7454545454545455,2.0,0.8869408369408369,0.3111111111111111
2,United States,3,42.18181818181818,0.9272727272727272,2.0,0.9278499278499278,0.08888888888888886
3,United States,Average,25.787878787878793,0.8363636363636363,2.0,0.8931938431938432,0.19999999999999998
