,0,1,2,3,4,5,6,7,8,9,10
0,0.0,1.0,5.0,10.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0
1,4.0,0.0,7.0,2.0,0.0,8.0,2.0,11.0,1.0,6.0,1.0
2,5.0,12.0,0.0,14.0,2.0,8.0,4.0,9.0,0.0,3.0,1.0
3,5.0,0.0,17.0,0.0,13.0,8.0,9.0,9.0,12.0,2.0,0.0
4,1.0,0.0,2.0,19.0,0.0,1.0,7.0,0.0,13.0,0.0,4.0
5,1.0,7.0,6.0,8.0,2.0,0.0,5.0,9.0,4.0,3.0,5.0
6,2.0,1.0,10.0,7.0,9.0,5.0,0.0,7.0,6.0,4.0,3.0
7,0.0,7.0,11.0,6.0,2.0,11.0,3.0,0.0,1.0,9.0,4.0
8,0.0,1.0,0.0,4.0,10.0,3.0,15.0,2.0,0.0,1.0,4.0
9,0.0,6.0,0.0,3.0,2.0,8.0,2.0,7.0,3.0,0.0,3.0
10,0.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,3.0,8.0,0.0
