,0,1,2,3,4,5,6,7,8,9,10
0,0.0,3.0,6.0,6.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0
1,1.0,0.0,16.0,3.0,0.0,7.0,14.0,4.0,21.0,1.0,2.0
2,5.0,20.0,0.0,15.0,4.0,9.0,8.0,0.0,3.0,0.0,0.0
3,7.0,3.0,15.0,0.0,28.0,12.0,2.0,6.0,4.0,1.0,0.0
4,1.0,0.0,3.0,22.0,0.0,14.0,6.0,17.0,1.0,13.0,5.0
5,1.0,12.0,12.0,5.0,11.0,0.0,14.0,11.0,4.0,2.0,4.0
6,0.0,13.0,3.0,5.0,4.0,13.0,0.0,8.0,14.0,1.0,3.0
7,0.0,3.0,2.0,8.0,7.0,5.0,10.0,0.0,5.0,6.0,7.0
8,0.0,12.0,5.0,2.0,3.0,7.0,7.0,5.0,0.0,3.0,2.0
9,1.0,0.0,1.0,5.0,7.0,1.0,2.0,3.0,3.0,0.0,0.0
10,0.0,1.0,0.0,0.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0
