,0,1,2,3,4,5,6,7,8,9,10
0,0.0,3.0,13.0,12.0,0.0,4.0,3.0,0.0,0.0,1.0,2.0
1,2.0,0.0,16.0,5.0,2.0,7.0,2.0,10.0,2.0,8.0,3.0
2,13.0,15.0,0.0,22.0,1.0,14.0,15.0,9.0,2.0,2.0,1.0
3,11.0,3.0,23.0,0.0,22.0,4.0,15.0,2.0,9.0,1.0,0.0
4,3.0,1.0,0.0,23.0,0.0,1.0,6.0,2.0,9.0,1.0,9.0
5,0.0,6.0,13.0,3.0,2.0,0.0,6.0,13.0,3.0,11.0,1.0
6,2.0,4.0,11.0,13.0,6.0,9.0,0.0,5.0,4.0,3.0,2.0
7,1.0,8.0,3.0,1.0,5.0,6.0,0.0,0.0,1.0,9.0,1.0
8,0.0,0.0,2.0,5.0,11.0,2.0,6.0,1.0,0.0,9.0,3.0
9,0.0,5.0,5.0,0.0,4.0,6.0,4.0,6.0,9.0,0.0,3.0
10,0.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,3.0,3.0,0.0
