50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a45fbbf7-20bd-49a3-a24a-0edb22e9ace8,1,,,,3942228,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6909, 'name': 'Damián Emiliano Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 29201, 'name': 'Nahuel Molina Lucero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 20572, 'name': 'Cristian Gabriel Romero'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 27768, 'name': 'Lisandro Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 38718, 'name': 'Enzo Fernandez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 20687, 'name': 'Nicolás Iván González'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 11456, 'name': 'Lautaro Javier Martínez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Argentina,779,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ff923397-fce8-4a71-b099-777c153b513d,2,,,,3942228,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 32677, 'name': 'Alexander Domínguez Carabalí'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 37737, 'name': 'Angelo Smit Preciado Quiñónez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 30111, 'name': 'Felix Eduardo Torres Caicedo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 41593, 'name': 'Willian Joel Pacho Tenorio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 38004, 'name': 'Piero Martín Hincapié Reyna'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 12583, 'name': 'Carlos Armando Gruezo Arboleda'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 37945, 'name': 'Alan Steven Franco Palma'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 384888, 'name': 'Ray Kendry Páez Andrade'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 37726, 'name': 'Moisés Isaac Caicedo Corozo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 40211, 'name': 'Jeremy Leonel Sarmiento Morante'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 28559, 'name': 'Enner Remberto Valencia Lastra'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Ecuador,3565,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8511d673-ed44-4b2d-9888-05658d777799,3,,,,3942228,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,['7bfa2651-0ab4-4ab8-a78d-1685a60a8dc6'],0,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7bfa2651-0ab4-4ab8-a78d-1685a60a8dc6,4,,,,3942228,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,['8511d673-ed44-4b2d-9888-05658d777799'],0,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ffd940cb-ef21-4b2a-b555-0164e6fad694,1639,,,,3942228,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Argentina,779,['f9c6f9ee-9202-4e9b-819b-439e424d9db2'],0,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f9c6f9ee-9202-4e9b-819b-439e424d9db2,1640,,,,3942228,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Argentina,779,['ffd940cb-ef21-4b2a-b555-0164e6fad694'],0,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ec784996-56e3-41b3-9b37-69c83620088f,2828,,,,3942228,120,,,,,,,,,,,,,,,,,,,,,,,5,Other,,,,172,Ecuador,3565,['969c0691-f616-4d4b-9d37-5ece1de9f9e2'],0,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,969c0691-f616-4d4b-9d37-5ece1de9f9e2,2829,,,,3942228,120,,,,,,,,,,,,,,,,,,,,,,,5,Other,,,,172,Ecuador,3565,['ec784996-56e3-41b3-9b37-69c83620088f'],0,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.126158,,,,,,,,,,,,,,a5fa8994-ce7e-4d17-b7ee-d452232cdd7c,5,,,"[61.0, 40.1]",3942228,0,,,,-3.0672617,,Right Foot,,,"[51.6, 39.4]",,Ground Pass,,9.426028,,,Alexis Mac Allister,27886.0,,,,,Kick Off,1,From Kick Off,Lautaro Javier Martínez,11456.0,Left Center Forward,2,Argentina,779,['ce81914b-06dd-4cb3-8eb1-b497117bc44c'],1,,,,,,,,,,,,,,,,,Argentina,779,00:00:01.161,Pass,
,,,,,,,,,,,,,,,1.1194,,,,,,,,,,,,,,96e79471-de71-4ea5-a732-ca5520503a82,8,,,"[47.1, 41.6]",3942228,0,,,,1.703765,,Right Foot,,,"[45.0, 57.3]",,Ground Pass,,15.839823,,,Rodrigo Javier De Paul,7797.0,,,,,,1,From Kick Off,Alexis Mac Allister,27886.0,Right Defensive Midfield,2,Argentina,779,['5682a0a1-e5d9-4b3b-82d3-5d5047f04247'],2,,,,,,,,,,,,,,,,,Argentina,779,00:00:02.865,Pass,
