50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.548925,,,,,,,,,,,,aed2ed12-5aa2-4e45-a5c6-c54e0c17f09e,20,,,"[40.8, 27.2]",3939978,0,,,,-2.244084,,Left Foot,,,,"[34.1, 18.8]",,Ground Pass,,10.744766,,,,Richie Laryea,16120.0,,,,,,1,From Kick Off,Derek Cornelius,23760.0,Left Center Back,2,Canada,1833,['e05766e3-5dca-4969-a378-5a7b93a3a683'],13,,,,,,,,,,,,,,,,Canada,1833,00:00:13.211,Pass,
,,,,,,,,,,,,,,,,,,0.699473,,,,,,,,,,,,23b1f6d2-52e8-4e79-a115-de573381a64e,24,,,"[45.5, 9.0]",3939978,0,,,,0.25484028,,Left Foot,,,,"[57.4, 12.1]",,Ground Pass,,12.297154,,,,Alphonso Davies,12365.0,,,,,,1,From Kick Off,Richie Laryea,16120.0,Left Back,2,Canada,1833,"['97de27d3-73c1-4a52-a6f0-07e4cbdf0729', 'cd38feb3-f8a7-495a-be9d-3507b0766e64']",16,,,,,,,,,,,,,,,,Canada,1833,00:00:16.517,Pass,True
,,,,,,,,,,,,,,,,,,4.710764,,,,,,,,,,,,db6dee84-f6d3-458d-bdf8-c27637098b7d,29,,,"[57.6, 13.2]",3939978,0,True,,,2.0634115,,Left Foot,,,,"[26.2, 71.7]",,Ground Pass,,66.394356,,,,Moise Bombito,383250.0,,True,,,Free Kick,1,From Free Kick,Stephen Antunes Eustáquio,11187.0,Left Defensive Midfield,3,Canada,1833,['1ecb22d1-bd5b-41d7-8a88-3c5965b97d26'],32,,,,,,,,,,,,,,,,Canada,1833,00:00:32.196,Pass,
,,,,,,,,,,,,,,,,,,2.114956,,,,,,,,,,,,a75fb961-27b1-470f-8075-02862921b946,31,,,"[22.2, 71.0]",3939978,0,,,,-1.9565874,,Right Foot,,,,"[10.3, 41.7]",,Ground Pass,,31.624357,,,,Maxime Crépeau,23758.0,,,,,,1,From Free Kick,Moise Bombito,383250.0,Right Center Back,3,Canada,1833,['56853fb3-0144-4eb2-9d1b-02f36162d230'],39,,,,,,,,,,,,,,,,Canada,1833,00:00:39.291,Pass,
,,,,,,,,,,,,,,,,,,1.051541,,,,,,,,,,,,accf91f4-2d57-4f73-ba00-2cc1551f6aa3,34,,,"[10.8, 39.1]",3939978,0,,,,-1.2901675,,Right Foot,,,,"[15.7, 22.1]",,Ground Pass,,17.69209,,,,Derek Cornelius,23760.0,,,,,,1,From Free Kick,Maxime Crépeau,23758.0,Goalkeeper,3,Canada,1833,['f14eb7b0-5e9e-4386-abce-2e0e9b2f0594'],43,,,,,,,,,,,,,,,,Canada,1833,00:00:43.617,Pass,
,,,,,,,,,,,,,,,,,,1.421919,,,,,,,,,,,,1606aeee-59a4-4bc8-bb80-8222b8b30cf1,37,,,"[18.9, 22.1]",3939978,0,,,,1.6776673,,Left Foot,,,,"[16.1, 48.2]",,Ground Pass,,26.249762,,,,Moise Bombito,383250.0,,,,,,1,From Free Kick,Derek Cornelius,23760.0,Left Center Back,3,Canada,1833,['e7501124-006c-4d47-9238-6871a9d78e6c'],48,,,,,,,,,,,,,,,,Canada,1833,00:00:48.133,Pass,
,,,,,,,,,,,,,,,,,,1.472297,,,,,,,,,,,,09a4b969-a578-46f0-ae07-a9689b35b44f,40,,,"[15.9, 52.1]",3939978,0,,,,0.93636054,,Right Foot,,,,"[32.9, 75.2]",,Ground Pass,,28.68118,,,,Alistair Johnston,44703.0,,,,,,1,From Free Kick,Moise Bombito,383250.0,Right Center Back,3,Canada,1833,['66deffbc-73c2-430b-9c41-509cc07cc34d'],50,,,,,,,,,,,,,,,,Canada,1833,00:00:50.964,Pass,
,,,,,,,,,,,,,,,,,,1.253998,,,,,,,,,,,,5066f607-9511-49dd-9372-af62bdd05f4c,44,,,"[32.5, 76.8]",3939978,0,,,,-0.2747835,,Left Foot,,,,"[51.3, 71.5]",,Ground Pass,,19.532793,,Incomplete,,Jonathan David,23640.0,,,,,,1,From Free Kick,Alistair Johnston,44703.0,Right Back,3,Canada,1833,"['66da54ce-5b8a-4355-b820-4b3c9346736c', 'd1f8a425-f57c-4398-bb51-a8c1aadab0a8']",53,,,,,,,,,,,,,,,,Canada,1833,00:00:53.060,Pass,
,,,,,,,,,,,,,,,,,,0.56705,,,,,,,,,,,,fa723e14-bf20-40c2-b202-928b533caf4c,49,,,"[73.9, 13.3]",3939978,0,,,,0.16261382,,Left Foot,,,,"[86.7, 15.4]",,Ground Pass,,12.971122,,,,Édison Michael Flores Peralta,5525.0,,,,,,1,Regular Play,Marcos Johan López Lanfranco,23749.0,Left Wing Back,4,Peru,784,"['70694557-5998-4132-9734-a38ddf3667e4', '9fab4abd-89d4-432b-b661-10cf0ee2af57']",55,,,,,,,,,,,,,,,,Peru,784,00:00:55.283,Pass,True
,,,,,,,,,,,,,,,,,,0.82694,,,,,,,,,,,,75b63134-c708-45a6-b2fd-0871b8c68035,53,,,"[83.0, 15.4]",3939978,0,,,,-1.741836,,Left Foot,,,,"[81.1, 4.4]",,Ground Pass,,11.162885,,,,Piero Aldair Quispe Córdova,101509.0,,,,,,1,Regular Play,Édison Michael Flores Peralta,5525.0,Left Center Forward,4,Peru,784,"['2432c5db-640c-4e68-84b3-e5326736fb57', 'b79faa84-0ca4-4d41-ba32-89779b89a4d3']",57,,,,,,,,,,,,,,,,Peru,784,00:00:57.998,Pass,True
