50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.258015,,,,,,,,6070c2f9-9023-402c-95f0-8dc3c6156fbb,19,,,"[79.2, 79.6]",3939971,0,,,,,-0.114876606,,Right Foot,,,,"[81.8, 79.3]",,Ground Pass,,2.6172504,Incomplete,,Jorge Eduardo Sánchez Ramos,26406.0,,,,,,1,From Kick Off,Carlos Uriel Antuna Romero,15452.0,Right Wing,2,Mexico,794,"['213715e5-47e3-49d5-b141-9e2725258e3c', '6b8ec4ff-3c73-4313-bfc6-9a6c23ab4048']",16,,,,,,,,,,,,,,,,,,Mexico,794,00:00:16.751,Pass,
,,,,,,,,,,,,,,,,2.31048,,,,,,,,a11ff7ea-50b0-40bb-8baf-5fcdf645338f,22,,,"[76.6, 80.0]",3939971,0,,,,,-2.8290536,,,,,,"[47.2, 70.5]",,Low Pass,,30.896763,,,César Jasib Montes Castro,26368.0,,,,,Throw-in,1,From Throw In,Carlos Uriel Antuna Romero,15452.0,Right Wing,3,Mexico,794,['ba0490a3-cd74-45eb-bcbd-abc737ee03cd'],24,,,,,,,,,,,,,,,,,,Mexico,794,00:00:24.237,Pass,
,,,,,,,,,,,,,,,,1.799999,,,,,,,,fdb02db8-944a-46c0-85dd-147f51e41413,25,,,"[45.9, 69.3]",3939971,0,,,,,-1.6394383,,Right Foot,,,,"[43.7, 37.3]",,Ground Pass,,32.075535,,,Johan Felipe Vásquez Ibarra,26336.0,,,,,,1,From Throw In,César Jasib Montes Castro,26368.0,Right Center Back,3,Mexico,794,['a170ff43-146c-4733-ac09-5a291636befe'],28,,,,,,,,,,,,,,,,,,Mexico,794,00:00:28.132,Pass,
,,,,,,,,,,,,,,,,1.400741,,,,,,,,a5fcef4e-5488-49e6-890c-04815fed02bb,28,,,"[45.4, 32.4]",3939971,0,,,,,-1.4007002,,Left Foot,,,,"[49.9, 6.2]",,Ground Pass,,26.583641,,,Gerardo Daniel Arteaga Zamora,27896.0,,,,,,1,From Throw In,Johan Felipe Vásquez Ibarra,26336.0,Left Center Back,3,Mexico,794,['fdeeebbe-b65c-4d7a-9c2a-2af2a7d346f9'],31,,,,,,,,,,,,,,,,,,Mexico,794,00:00:31.174,Pass,
,,,,,,,,,,,,,,,,0.987195,,,,,,,,d308c8d4-dcd6-4d09-8b3d-a6e8ab9dea06,31,,,"[51.2, 5.5]",3939971,0,,,,,-0.2914568,,Left Foot,,,,"[62.2, 2.2]",,Ground Pass,,11.484337,,,Julián Andrés Quiñones Quiñones,35375.0,,,,,,1,From Throw In,Gerardo Daniel Arteaga Zamora,27896.0,Left Back,3,Mexico,794,['0e4a1f9b-cdec-4be1-8208-5912cd3889d8'],33,,,,,,,,,,,,,,,,,,Mexico,794,00:00:33.704,Pass,
,,,,,,,,,,,,,,,,1.646159,,,,,,,,7fcdd1ff-2f2c-424f-af55-149e96b48255,35,,,"[58.2, 2.8]",3939971,0,,,,,3.0543828,,Right Foot,,,,"[39.9, 4.4]",,Ground Pass,,18.369812,,,Gerardo Daniel Arteaga Zamora,27896.0,,,,,,1,From Throw In,Julián Andrés Quiñones Quiñones,35375.0,Left Wing,3,Mexico,794,"['2c8d2ce5-7fd8-485b-8bd1-9b5b7ba976e1', 'cd3fbb2a-fa6d-41c6-9de3-f2eff810d94d']",35,,,,,,,,,,,,,,,,,,Mexico,794,00:00:35.360,Pass,True
,,,,,,,,,,,,,,,,1.846297,,,,,,,,6bffeada-ff2f-4a7c-b1c4-0da0b1bd220f,38,,,"[33.7, 7.8]",3939971,0,,,,,2.2921796,,Left Foot,,,,"[11.8, 32.7]",,Ground Pass,,33.16052,,,Julio José González Vela-Alvizu,36949.0,,,,,,1,From Throw In,Gerardo Daniel Arteaga Zamora,27896.0,Left Back,3,Mexico,794,['b75a8517-7e68-44e4-8046-ed908ea6955a'],37,,,,,,,,,,,,,,,,,,Mexico,794,00:00:37.970,Pass,
,,,,,,,,,,,,,,,,1.477037,,,,,,,,83535aaf-f150-4ad4-955e-d7ebcafa70ec,41,,,"[14.3, 34.0]",3939971,0,,,,,1.5343162,,Left Foot,,,,"[15.3, 61.4]",,Ground Pass,,27.418242,,,César Jasib Montes Castro,26368.0,,,,,,1,From Throw In,Julio José González Vela-Alvizu,36949.0,Goalkeeper,3,Mexico,794,['3bfac64b-21af-454b-8fce-ec5dc7da2be7'],41,,,,,,,,,,,,,,,,,,Mexico,794,00:00:41.285,Pass,
,,,,,,,,,,,,,,,,0.999361,,,,,,,,961dd04c-0069-4ab9-a1c5-0763b2455080,44,,,"[21.3, 64.3]",3939971,0,,,,,-0.17779022,,Right Foot,,,,"[46.9, 59.7]",,Ground Pass,,26.009998,,,Orbelín Pineda Alvarado,26280.0,,,,,,1,From Throw In,César Jasib Montes Castro,26368.0,Right Center Back,3,Mexico,794,['ec45f116-0e87-4c0e-b235-95f8701754fb'],44,,,,,,,,,,,,,,,,,,Mexico,794,00:00:44.738,Pass,
,,,,,,,,,,,,,,,,1.554074,,,,,,,,c095acb0-2e0e-448c-bdf5-81b77842e803,48,,,"[46.9, 60.1]",3939971,0,,,,,-0.84781694,,Right Foot,,,,"[57.4, 48.2]",,Low Pass,,15.870098,Incomplete,,Luis Gerardo Chávez Magallón,28825.0,,,,,,1,From Throw In,Orbelín Pineda Alvarado,26280.0,Right Center Midfield,3,Mexico,794,"['1be35ed2-b17b-447a-bc1d-5f18758ee44c', 'bdd007e4-5c8d-498a-9771-965b5b303add', 'c4916e55-d7f9-4568-955f-bf3fc589b965']",45,,,,,,,,,,,,,,,,,,Mexico,794,00:00:45.778,Pass,True
