50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.231233,,,,,,,,,,,,ab100f8b-25b8-4d54-bc10-00fe5fd253a3,17,,,"[52.2, 39.3]",3939969,0,,,,,-2.2921314,,Right Foot,,,,"[39.8, 25.2]",,Ground Pass,,18.776848,,,,,Derek Cornelius,23760.0,,,,,,1,From Kick Off,Stephen Antunes Eustáquio,11187.0,Left Defensive Midfield,2,Canada,1833,['ef905fd7-19c7-45cf-94ed-fdd9b7b3d8fa'],8,,,,,,,,,,,,,,,,,Canada,1833,00:00:08.704,Pass,
,,,,,,,,,,,,,,,,,,,0.988537,,,,,,,,,,,,59331757-d9c9-421c-81a4-2f628aefd336,20,,,"[38.3, 25.6]",3939969,0,,,,,-1.0440236,,Right Foot,,,,"[52.2, 1.7]",,Ground Pass,,27.648146,,,,,Alphonso Davies,12365.0,,,,,,1,From Kick Off,Derek Cornelius,23760.0,Left Center Back,2,Canada,1833,['a8eb3acc-83b9-4479-8ce6-3af834916e76'],11,,,,,,,,,,,,,,,,,Canada,1833,00:00:11.245,Pass,
,,,,,,,,,,,,,,,,,,,0.737504,,,,,,,,,,,,f5427d18-0a5c-495b-b593-20ed0111f4f5,23,,,"[50.0, 2.9]",3939969,0,,,,,1.2197654,,Right Foot,,,,"[52.6, 10.0]",,Ground Pass,,7.5610847,,,,,Stephen Antunes Eustáquio,11187.0,,,,,,1,From Kick Off,Alphonso Davies,12365.0,Left Back,2,Canada,1833,['d93b89bb-72d2-41e7-8c53-289deaf5796b'],14,,,,,,,,,,,,,,,,,Canada,1833,00:00:14.549,Pass,
,,,,,,,,,,,,,,,,,,,2.509242,,,,,,,,,,,,0f9fa66b-cfaf-4a52-97ae-480cefd71a30,26,,,"[53.0, 13.0]",3939969,0,,,,,0.25484028,,Right Foot,,,,"[100.6, 25.4]",,High Pass,,49.188618,,,Incomplete,,Cyle Larin,16459.0,,,,,,1,From Kick Off,Stephen Antunes Eustáquio,11187.0,Left Defensive Midfield,2,Canada,1833,"['f07c211c-99dc-446b-a2a7-627f50afbcd5', 'f9f93ea8-fcca-4298-8c4e-fbb87f14ceb9']",16,,,,,,,,,,,,,,,,,Canada,1833,00:00:16.534,Pass,
,,,,,,,,,,,,,,,,,,,1.628891,,,,,,,,,,,,f9f93ea8-fcca-4298-8c4e-fbb87f14ceb9,28,,,"[19.5, 54.7]",3939969,0,,,,,1.053509,,Right Foot,,,,"[26.1, 66.3]",,High Pass,,13.346161,,,,,Nahuel Molina Lucero,29201.0,,,,,Interception,1,From Kick Off,Cristian Gabriel Romero,20572.0,Right Center Back,2,Canada,1833,"['06aeb222-39c0-419a-ac60-e00fe2476e0c', '0f9fa66b-cfaf-4a52-97ae-480cefd71a30']",19,,,,,,,,,,,,,,,,,Argentina,779,00:00:19.043,Pass,
,,,,,,,,,,,,,,,,,,,0.119999,,,,,,,,,,,,c3bfdbeb-785e-4786-91b5-b4b8158a8f0f,32,,,"[26.7, 57.5]",3939969,0,,,,,-0.71883,,Left Foot,,,,"[28.3, 56.1]",,Low Pass,,2.1260293,,,Incomplete,,,,,,,,,1,From Kick Off,Nahuel Molina Lucero,29201.0,Right Back,2,Canada,1833,"['3fe55cab-01eb-419a-ba2a-1e6d59ff6164', 'c7c293e3-d47c-4856-aa92-d13d1be4ad5d']",21,,,,,,,,,,,,,,,,,Argentina,779,00:00:21.903,Pass,True
,,,,,,,,,,,,,,,,,,,0.605307,,,,,,,,,,,,b7334d4d-216c-4900-af8d-0207d48e44ae,36,,,"[79.4, 38.7]",3939969,0,,,,,-1.7429872,,Right Foot,,,,"[77.8, 29.5]",,Ground Pass,,9.338094,,,,,Stephen Antunes Eustáquio,11187.0,,,,,Recovery,1,From Kick Off,Alistair Johnston,44703.0,Right Back,2,Canada,1833,"['7c24929a-31f9-440e-8fa9-ab0ec511f58c', 'edc0465e-e34d-4a4c-b2df-edaec9a12907']",25,,,,,,,,,,,,,,,,,Canada,1833,00:00:25.879,Pass,True
,,,,,,,,,,,,,,,,,,,1.142773,,,,,,,,,,,,b4269daf-239d-466b-b024-98221eda7961,39,,,"[78.3, 30.0]",3939969,0,,,,,2.3518276,,Left Foot,,,,"[66.9, 41.5]",,Ground Pass,,16.1929,,,,,Moise Bombito,383250.0,,,,,,1,From Kick Off,Stephen Antunes Eustáquio,11187.0,Left Defensive Midfield,2,Canada,1833,['bbff075e-87ef-419d-83b4-4874b7bc5c6a'],26,,,,,,,,,,,,,,,,,Canada,1833,00:00:26.705,Pass,
,,,,,,,,,,,,,,,,,,,1.624969,,,,,,,,,,,,7cce105d-78d5-4708-837f-edf9e7e9a07b,42,,,"[64.1, 52.1]",3939969,0,,,,,0.8717967,,Right Foot,,,,"[81.5, 72.8]",,Ground Pass,,27.041636,,,,,Tajon Buchanan,24024.0,,,,,,1,From Kick Off,Moise Bombito,383250.0,Right Center Back,2,Canada,1833,['b0c5f873-fff3-4ac4-828b-486718f4a3f8'],29,,,,,,,,,,,,,,,,,Canada,1833,00:00:29.415,Pass,
,,,,,,,,,,,,,,,,,,,0.613649,,,,,,,,,,,,3eaeb5b0-f444-47e8-b70d-f6214a486e21,45,,,"[84.6, 74.8]",3939969,0,,,,,-0.07058959,,Right Foot,,,,"[94.5, 74.1]",,Ground Pass,,9.924717,,,,,Alistair Johnston,44703.0,,,,,,1,From Kick Off,Tajon Buchanan,24024.0,Right Midfield,2,Canada,1833,['6a5c97d3-bbdb-476a-91bf-3bb5e7123aa6'],32,,,,,,,,,,,,,,,,,Canada,1833,00:00:32.671,Pass,
