50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.607446,,,,,,,,,,,,,,5d681796-2489-4f13-8b8d-d543b6fbdc4a,19,,,"[55.2, 72.3]",3939976,0,,,,1.1659045,,Right Foot,,,,"[58.2, 79.3]",Ground Pass,,7.615773,,,Danilo Luiz da Silva,3063.0,,,,,,1,Regular Play,Bruno Guimarães Rodriguez Moura,25142.0,Right Defensive Midfield,3,Brazil,781,['96b7ff44-f43c-479a-bf8b-dc770f40d8e9'],20,,,,,,,,,,,,,,,,,Brazil,781,00:00:20.686,Pass,
,,,,,,,,,,,,,,,,,,0.933172,,,,,,,,,,,,,,f5237943-c601-413a-af7c-dd09ae3e04fe,22,,,"[57.7, 79.0]",3939976,0,,,,-2.6779451,,Right Foot,,,,"[49.5, 74.9]",Ground Pass,,9.167879,,,Bruno Guimarães Rodriguez Moura,25142.0,,,,,,1,Regular Play,Danilo Luiz da Silva,3063.0,Right Back,3,Brazil,781,['ec64f74d-2303-42bc-87a7-fa2a2b3718ae'],21,,,,,,,,,,,,,,,,,Brazil,781,00:00:21.764,Pass,
,,,,,,,,,,,,,,,,,,0.936539,,,,,,,,,,,,,,2b95ee07-b6c6-4226-bc91-9ad6d719d796,26,,,"[49.0, 76.1]",3939976,0,,,,-1.4833703,,Right Foot,,,,"[51.2, 51.0]",Low Pass,,25.19623,,,João Victor Gomes da Silva,48720.0,,,,,,1,Regular Play,Bruno Guimarães Rodriguez Moura,25142.0,Right Defensive Midfield,3,Brazil,781,"['8d17f194-2099-4fa4-9712-bb47c848e4c7', 'd3f8015c-1a48-46f7-8c8d-a249453e67b9']",22,,,,,,,,,,,,,,,,,Brazil,781,00:00:22.747,Pass,True
,,,,,,,,,,,,,,,,,,1.817867,,,,,,,,,,,,,,50466658-b525-4a58-86f6-d170a90e790d,29,,,"[51.5, 49.1]",3939976,0,,,,-1.8444556,,Right Foot,,,,"[45.1, 26.3]",Ground Pass,,23.681215,,,Marcos Aoás Corrêa,4372.0,,,,,,1,Regular Play,João Victor Gomes da Silva,48720.0,Left Defensive Midfield,3,Brazil,781,['8ded2fe0-e1ac-48f6-beef-d48fc3f74244'],24,,,,,,,,,,,,,,,,,Brazil,781,00:00:24.924,Pass,
,,,,,,,,,,,,,,,,,,1.562625,,,,,,,,,,,,,,cc53f184-1099-46cf-a842-18b137a6e4c0,31,,,"[45.3, 26.3]",3939976,0,,,,-0.82316357,,Right Foot,,,,"[64.4, 5.7]",Ground Pass,,28.092169,,,Guilherme Antonio Arana Lopes,6919.0,,,,,,1,Regular Play,Marcos Aoás Corrêa,4372.0,Left Center Back,3,Brazil,781,['b76e0ab0-fc5c-46cb-b353-be17038f17c3'],26,,,,,,,,,,,,,,,,,Brazil,781,00:00:26.742,Pass,
,,,,,,,,,,,,,,,,,,1.506347,,,,,,,,,,,,,,7f580c13-97af-4a99-881c-4bf1ab807338,34,,,"[69.8, 5.7]",3939976,0,,,,2.4780369,,Left Foot,,,,"[53.3, 18.6]",Ground Pass,,20.944212,,,Marcos Aoás Corrêa,4372.0,,,,,,1,Regular Play,Guilherme Antonio Arana Lopes,6919.0,Left Back,3,Brazil,781,['1926fa08-2817-47b6-9162-1f04d4a122d5'],29,,,,,,,,,,,,,,,,,Brazil,781,00:00:29.543,Pass,
,,,,,,,,,,,,,,,,,,1.120199,,,,,,,,,,,,,,802f83b0-605f-4132-bf15-da814f718215,37,,,"[53.1, 21.8]",3939976,0,,,,1.9792117,,Left Foot,,,,"[45.7, 38.9]",Ground Pass,,18.632498,,,Éder Gabriel Militão,13620.0,,,,,,1,Regular Play,Marcos Aoás Corrêa,4372.0,Left Center Back,3,Brazil,781,['e590dfac-1a30-4658-90bf-5917f6a5001b'],32,,,,,,,,,,,,,,,,,Brazil,781,00:00:32.724,Pass,
,,,,,,,,,,,,,,,,,,1.781321,,,,,,,,,,,,,,1decaac7-fe83-4c86-a83f-8739b64c61a2,40,,,"[45.8, 42.5]",3939976,0,,,,1.1482648,,Right Foot,,,,"[57.4, 68.3]",Ground Pass,,28.287807,,,Danilo Luiz da Silva,3063.0,,,,,,1,Regular Play,Éder Gabriel Militão,13620.0,Right Center Back,3,Brazil,781,['f1f48f4f-8336-44e5-b5d6-aec2f1fa220b'],35,,,,,,,,,,,,,,,,,Brazil,781,00:00:35.044,Pass,
,,,,,,,,,,,,,,,,,,0.924474,,,,,,,,,,,,,,3dbd46bd-b565-450f-82c4-cb999cd5b221,43,,,"[64.7, 73.0]",3939976,0,,,,0.5956555,,Right Foot,,,,"[73.7, 79.1]",Ground Pass,,10.872442,,,Raphael Dias Belloli,10595.0,,,,,,1,Regular Play,Danilo Luiz da Silva,3063.0,Right Back,3,Brazil,781,['ea4656e5-01f1-4604-8981-2b8381459ea7'],37,,,,,,,,,,,,,,,,,Brazil,781,00:00:37.887,Pass,
,,,,,,,,,,,,,,,,,,1.741032,,,,,,,,,,,,,,2adb9370-a06d-475c-abac-5256d99728a9,46,,,"[72.7, 77.4]",3939976,0,,,,-2.2095904,,Left Foot,,,,"[49.9, 46.7]",Ground Pass,,38.240425,,,Éder Gabriel Militão,13620.0,,,,,,1,Regular Play,Raphael Dias Belloli,10595.0,Right Wing,3,Brazil,781,['cda19525-24d9-4e84-8c78-cb9870a7a862'],41,,,,,,,,,,,,,,,,,Brazil,781,00:00:41.190,Pass,
,,,,,,,,,,,,,,,,,,1.52308,,,,,,,,,,,,,,5f272b9b-4212-4922-a5b6-3ab8164b825d,49,,,"[52.4, 43.8]",3939976,0,,,,-1.0114421,,Right Foot,,,,"[67.3, 20.0]",Ground Pass,,28.079351,,,Rodrygo Silva de Goes,25104.0,,,,,,1,Regular Play,Éder Gabriel Militão,13620.0,Right Center Back,3,Brazil,781,['a0f5aad2-5986-48ae-8eb9-c7b937a16632'],44,,,,,,,,,,,,,,,,,Brazil,781,00:00:44.531,Pass,
,,,,,,,,,,,,,,,,,,1.112977,,,,,,,,,,,,,,f957b685-58bc-440c-bbff-ea4a73520038,52,,,"[63.5, 18.7]",3939976,0,,,,2.5890992,,Right Foot,,,,"[50.2, 26.9]",Ground Pass,,15.62466,,,Marcos Aoás Corrêa,4372.0,,,,,,1,Regular Play,Rodrygo Silva de Goes,25104.0,Center Forward,3,Brazil,781,['0133ffb5-b6ee-4796-a15b-5cc49a4203d3'],49,,,,,,,,,,,,,,,,,Brazil,781,00:00:49.997,Pass,
,,,,,,,,,,,,,,,,,,2.259146,,,,,,,,,,,,,,15699551-d029-486d-8c4a-7703d6c72991,55,,,"[47.0, 28.1]",3939976,0,,,,1.1665158,,Right Foot,,,,"[63.9, 67.6]",Ground Pass,,42.963474,,,Danilo Luiz da Silva,3063.0,,,,,,1,Regular Play,Marcos Aoás Corrêa,4372.0,Left Center Back,3,Brazil,781,['85f1c425-0419-456a-ab98-7e6e072b4c9f'],52,,,,,,,,,,,,,,,,,Brazil,781,00:00:52.380,Pass,
,,,,,,,,,,,,,,,,,,2.377872,,,,,,,,,,,,,,d67354bf-277d-4c75-8829-056392993a4f,58,,,"[72.7, 72.0]",3939976,0,,,,-0.5660737,,Right Foot,,,,"[112.2, 46.9]",High Pass,,46.800213,,Incomplete,Rodrygo Silva de Goes,25104.0,,,,,,1,Regular Play,Danilo Luiz da Silva,3063.0,Right Back,3,Brazil,781,"['167252fd-7d37-47f7-b1c7-47a3d988065d', '69b7561a-ecd2-4d21-9a64-3ddc4210ab12']",56,,,,,,,,,,,,,,,,,Brazil,781,00:00:56.639,Pass,
,,,,,,,,,,,,,,,,,,2.01581,,,,,,,,,,,,,,dffa87ba-cd93-422c-a09e-31a0910bf83f,62,,,"[7.6, 35.7]",3939976,1,,,,-1.19029,,Keeper Arm,,,,"[16.4, 13.7]",Ground Pass,,23.694725,,,Francisco Javier Calvo Quesada,5600.0,,,,,,1,Regular Play,Patrick Gilmar Sequeira Mejías,97291.0,Goalkeeper,3,Brazil,781,['4f756104-84a8-428f-96d2-8e247a95e2b2'],4,,,,,,,,,,,,,,,,,Costa Rica,795,00:01:04.085,Pass,
,,,,,,,,,,,,,,,,,,2.795952,,,,,,,,,,,,,,486dcbb7-f14a-436a-af1f-2497bf3d0d2f,66,,,"[23.5, 1.7]",3939976,1,,,,0.28950366,,Left Foot,,,,"[70.5, 15.7]",High Pass,,49.0408,,Incomplete,Manfred Ugalde,36251.0,,,,,,1,Regular Play,Francisco Javier Calvo Quesada,5600.0,Left Center Back,3,Brazil,781,"['6cc7cf8f-f3e0-4b57-944a-45c4cb8533e5', 'a571394c-87fe-405c-a0d5-7cd156ff3991', 'bef4b3fd-1f5e-4707-9a1d-fcaadbf06c2e']",8,,,,,,,,,,,,,,,,,Costa Rica,795,00:01:08.908,Pass,True
,,,,,,,,,,,,,,,,,,0.831976,,,,,,,,,,,,,,a571394c-87fe-405c-a0d5-7cd156ff3991,68,,,"[49.6, 64.4]",3939976,1,,,,1.3817757,,Other,,,,"[51.8, 75.9]",Low Pass,,11.708544,,,Danilo Luiz da Silva,3063.0,,,,,Recovery,1,Regular Play,Éder Gabriel Militão,13620.0,Right Center Back,3,Brazil,781,"['486dcbb7-f14a-436a-af1f-2497bf3d0d2f', 'cb77a8c4-4589-4949-bf8e-fa648c3defa0']",11,,,,,,,,,,,,,,,,,Brazil,781,00:01:11.704,Pass,
,,,,,,,,,,,,,,,,,,3.790322,,,,,,,,,,,,,,a76201d3-91e1-458d-882f-7c19faefccbc,70,,,"[50.9, 75.5]",3939976,1,,,,-2.6287172,,Right Foot,,,,"[21.6, 59.0]",Low Pass,,33.626476,,,Marcos Aoás Corrêa,4372.0,,,,,,1,Regular Play,Danilo Luiz da Silva,3063.0,Right Back,3,Brazil,781,['8ce067a4-c6bc-4303-8977-56e2f32eb9c3'],12,,,,,,,,,,,,,,,,,Brazil,781,00:01:12.536,Pass,
,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,c6073c2a-723a-4d00-ae2e-1a9c168e8f33,72,,,"[19.0, 58.0]",3939976,1,,,,-1.5111189,,Left Foot,,,,"[20.9, 26.2]",Ground Pass,,31.85671,,,Guilherme Antonio Arana Lopes,6919.0,,,,,,1,Regular Play,Marcos Aoás Corrêa,4372.0,Left Center Back,3,Brazil,781,['f6b608f0-a73b-4ada-8850-193125e153ed'],16,,,,,,,,,,,,,,,,,Brazil,781,00:01:16.327,Pass,
,,,,,,,,,,,,,,,,,,2.680147,,,,,,,,,,,,,,951507da-7a03-4ad7-8f4e-9b52ae42ef2e,75,,,"[38.7, 21.2]",3939976,1,,,,1.7762971,,Left Foot,,,,"[30.8, 59.1]",Ground Pass,,38.714596,,,Éder Gabriel Militão,13620.0,,,,,,1,Regular Play,Guilherme Antonio Arana Lopes,6919.0,Left Back,3,Brazil,781,['603bef0a-2f9b-49f2-bf4b-9ee63c381e3f'],23,,,,,,,,,,,,,,,,,Brazil,781,00:01:23.182,Pass,
,,,,,,,,,,,,,,,,,,1.711132,,,,,,,,,,,,,,2bf30946-e5e9-4538-91b6-22cd9cdaf410,78,,,"[33.1, 59.4]",3939976,1,,,,0.633468,,Right Foot,,,,"[57.2, 77.1]",Ground Pass,,29.901505,,,Danilo Luiz da Silva,3063.0,,,,,,1,Regular Play,Éder Gabriel Militão,13620.0,Right Center Back,3,Brazil,781,['21209b4e-e388-4dc0-b999-1ef976804c9f'],26,,,,,,,,,,,,,,,,,Brazil,781,00:01:26.869,Pass,
,,,,,,,,,,,,,,,,,,0.801625,,,,,,,,,,,,,,9cb7cb5c-dd68-4779-a8d7-877deeb87682,81,,,"[68.6, 77.8]",3939976,1,,,,0.014998876,,Right Foot,,,,"[88.6, 78.1]",Ground Pass,,20.00225,,,Raphael Dias Belloli,10595.0,,,,,,1,Regular Play,Danilo Luiz da Silva,3063.0,Right Back,3,Brazil,781,['a342f480-6107-47e0-8739-321dc4d3c673'],30,,,,,,,,,,,,,,,,,Brazil,781,00:01:30.376,Pass,
