50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.50623,,,,,,,,,,,,,6ac8c150-b24a-468a-a057-7a3c8f93cfd2,17,,,"[34.8, 39.8]",3939986,0,,,,,1.536911,,Right Foot,,"[35.6, 63.4]",,Ground Pass,,23.613556,,,,,Germán Alejandro Pezzella,7161.0,,,,,,1,From Kick Off,Nicolás Hernán Otamendi,3090.0,Left Center Back,2,Argentina,779,['8151ebad-8c59-4273-93fd-ed4672f7d31c'],14,,,,,,,,,,,,,,,,,Argentina,779,00:00:14.883,Pass,
,,,,,,,,,,,,,,,,,,,1.031748,,,,,,,,,,,,,e932ee2b-f4b2-43ae-8cd0-5abced3a18ea,20,,,"[35.6, 63.5]",3939986,0,,,,,0.91736996,,Left Foot,,"[45.4, 76.3]",,Ground Pass,,16.120794,,,,,Gonzalo Ariel Montiel,28263.0,,,,,,1,From Kick Off,Germán Alejandro Pezzella,7161.0,Right Center Back,2,Argentina,779,['22aabb2b-31d2-4161-9b3b-01e985c858de'],17,,,,,,,,,,,,,,,,,Argentina,779,00:00:17.330,Pass,
,,,,,,,,,,,,,,,,,,,1.397874,,,,,,,,,,,,,d4a740cc-6403-42ac-ad74-a3d556cd35cf,23,,,"[44.0, 75.9]",3939986,0,,,,,-2.4393358,,Right Foot,,"[32.3, 66.0]",,Ground Pass,,15.3264475,,,,,Germán Alejandro Pezzella,7161.0,,,,,,1,From Kick Off,Gonzalo Ariel Montiel,28263.0,Right Back,2,Argentina,779,['e0a409ef-da3e-464d-8559-a8fcbfd8a0f5'],19,,,,,,,,,,,,,,,,,Argentina,779,00:00:19.119,Pass,
,,,,,,,,,,,,,,,,,,,1.512776,,,,,,,,,,,,,8e8fef71-79e7-4e41-839b-74d42a2c111d,26,,,"[32.3, 66.0]",3939986,0,,,,,-1.9199373,,Right Foot,,"[24.4, 44.3]",,Ground Pass,,23.093288,,,,,Nicolás Hernán Otamendi,3090.0,,,,,,1,From Kick Off,Germán Alejandro Pezzella,7161.0,Right Center Back,2,Argentina,779,['bebb61b0-758f-446d-8394-65b2ee39f840'],21,,,,,,,,,,,,,,,,,Argentina,779,00:00:21.061,Pass,
,,,,,,,,,,,,,,,,,,,1.788007,,,,,,,,,,,,,c34a87e6-614c-412c-8a3c-f278f64b6ef4,29,,,"[27.3, 41.8]",3939986,0,,,,,-0.9348375,,Right Foot,,"[46.2, 16.2]",,Ground Pass,,31.820906,,,,,Nicolás Alejandro Tagliafico,5507.0,,,,,,1,From Kick Off,Nicolás Hernán Otamendi,3090.0,Left Center Back,2,Argentina,779,['0bed46a9-4f68-46f2-81ab-9c6e6040b4b5'],23,,,,,,,,,,,,,,,,,Argentina,779,00:00:23.948,Pass,
,,,,,,,,,,,,,,,,,,,1.349548,,,,,,,,,,,,,e90cedce-ecbc-428c-9eca-1b04bee46f4d,32,,,"[52.8, 12.3]",3939986,0,,,,,2.5675995,,Left Foot,,"[39.5, 20.9]",,Ground Pass,,15.838244,,,,,Nicolás Hernán Otamendi,3090.0,,,,,,1,From Kick Off,Nicolás Alejandro Tagliafico,5507.0,Left Back,2,Argentina,779,['a6069d53-f1d7-475d-961c-66ae4167e29f'],29,,,,,,,,,,,,,,,,,Argentina,779,00:00:29.591,Pass,
,,,,,,,,,,,,,,,,,,,1.765143,,,,,,,,,,,,,9d3c656b-db0d-45eb-86bc-42c84a5ccc85,35,,,"[38.3, 21.0]",3939986,0,,,,,1.6456562,,Right Foot,,"[35.6, 57.0]",,Ground Pass,,36.10111,,,,,Germán Alejandro Pezzella,7161.0,,,,,,1,From Kick Off,Nicolás Hernán Otamendi,3090.0,Left Center Back,2,Argentina,779,['73ba45b8-cf3b-4882-924f-fc02877c2d99'],32,,,,,,,,,,,,,,,,,Argentina,779,00:00:32.151,Pass,
,,,,,,,,,,,,,,,,,,,1.32392,,,,,,,,,,,,,dd310de4-7cbe-4c0c-8cee-19228f3abafd,38,,,"[37.6, 59.0]",3939986,0,,,,,1.096539,,Left Foot,,"[45.3, 74.0]",,Ground Pass,,16.8609,,,,,Gonzalo Ariel Montiel,28263.0,,,,,,1,From Kick Off,Germán Alejandro Pezzella,7161.0,Right Center Back,2,Argentina,779,['2c729dcd-0b03-4fab-9cc3-9d93e1c120b3'],35,,,,,,,,,,,,,,,,,Argentina,779,00:00:35.131,Pass,
,,,,,,,,,,,,,,,,,,,1.020846,,,,,,,,,,,,,e4024113-a95c-4ffa-acd6-9eac9e10b869,41,,,"[45.3, 74.0]",3939986,0,,,,,-0.86771995,,Right Foot,,"[59.2, 57.6]",,Ground Pass,,21.49814,,,,,Ángel Fabián Di María Hernández,2995.0,,,,,,1,From Kick Off,Gonzalo Ariel Montiel,28263.0,Right Back,2,Argentina,779,['1e5d7302-be08-460f-8a79-0fb21a09487b'],37,,,,,,,,,,,,,,,,,Argentina,779,00:00:37.543,Pass,
,,,,,,,,,,,,,,,,,,,0.848238,,,,,,,,,,,,,3e241c4b-c9a0-44d3-b89e-488919756697,43,,,"[58.2, 58.6]",3939986,0,,,,,-2.9113731,,Left Foot,,"[51.8, 57.1]",,Ground Pass,,6.5734315,,,,,Leandro Daniel Paredes,16308.0,,,,,,1,From Kick Off,Ángel Fabián Di María Hernández,2995.0,Right Wing,2,Argentina,779,['5fe6bafa-2505-44f8-8802-8090a77ccbea'],38,,,,,,,,,,,,,,,,,Argentina,779,00:00:38.564,Pass,
