50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,2.114215,,,,,,,,,,,,,,bb726aee-d2b6-4632-891f-d57c0c7e5be8,17,,,"[31.0, 56.2]",3942416,0,,,,,-1.642744,,Right Foot,,,,"[29.4, 34.0]",,Ground Pass,,22.257584,,,,Carlos Eccehomo Cuesta Figueroa,28567.0,,,,,,1,From Kick Off,Davinson Sánchez Mina,3494.0,Right Center Back,2,Colombia,769,['2aebaaa6-2036-472d-bdb4-7c76cc169ab8'],8,,,,,,,,,,,,,,,,,Colombia,769,00:00:08.325,Pass,
,,,,,,,,,,,,,,,1.284006,,,,,,,,,,,,,,12297439-2aa3-4325-9e7a-d46697838b37,20,,,"[30.8, 26.1]",3942416,0,,,,,-1.1797127,,Right Foot,,,,"[39.5, 5.0]",,Ground Pass,,22.823235,,,,Johan Andrés Mojica Palacio,5691.0,,,,,,1,From Kick Off,Carlos Eccehomo Cuesta Figueroa,28567.0,Left Center Back,2,Colombia,769,['d729f2b7-2a93-43bb-9884-4c796aad0e94'],10,,,,,,,,,,,,,,,,,Colombia,769,00:00:10.832,Pass,
,,,,,,,,,,,,,,,1.118921,,,,,,,,,,,,,,f7a43932-c0fb-4806-bcbc-b5c8f188b587,23,,,"[39.5, 5.0]",3942416,0,,,,,2.1537926,,Left Foot,,,,"[27.3, 23.5]",,Ground Pass,,22.160551,,,,Carlos Eccehomo Cuesta Figueroa,28567.0,,,,,,1,From Kick Off,Johan Andrés Mojica Palacio,5691.0,Left Back,2,Colombia,769,['2a254a74-0f70-4bbf-a4ad-05dd67ed68e2'],12,,,,,,,,,,,,,,,,,Colombia,769,00:00:12.584,Pass,
,,,,,,,,,,,,,,,2.499427,,,,,,,,,,,,,,9971dd15-976c-4ba5-961f-44337d1d2636,26,,,"[27.3, 26.3]",3942416,0,,,,,1.5365632,,Right Foot,,,,"[28.3, 55.5]",,Ground Pass,,29.21712,,,,Davinson Sánchez Mina,3494.0,,,,,,1,From Kick Off,Carlos Eccehomo Cuesta Figueroa,28567.0,Left Center Back,2,Colombia,769,['e229aee9-a191-4783-bcf8-53abc287ad98'],14,,,,,,,,,,,,,,,,,Colombia,769,00:00:14.916,Pass,
,,,,,,,,,,,,,,,0.970201,,,,,,,,,,,,,,b7b61791-b76e-441e-b5f6-aa29f7a6d29c,29,,,"[32.1, 56.4]",3942416,0,,,,,0.071307465,,Right Foot,,,,"[43.3, 57.2]",,Ground Pass,,11.228535,,,,Richard Rios Montoya,49395.0,,,,,,1,From Kick Off,Davinson Sánchez Mina,3494.0,Right Center Back,2,Colombia,769,['dbf3ba9a-4237-41cd-bd9b-b82975b82de1'],18,,,,,,,,,,,,,,,,,Colombia,769,00:00:18.697,Pass,
,,,,,,,,,,,,,,,1.526491,,,,,,,,,,,,,,18b24e0b-6fda-4a62-aab7-3a059146b51e,32,,,"[40.8, 56.6]",3942416,0,,,,,1.6511914,,Right Foot,,,,"[39.1, 77.7]",,Ground Pass,,21.168373,,,,Daniel Muñoz Mejía,27423.0,,,,,,1,From Kick Off,Richard Rios Montoya,49395.0,Right Center Midfield,2,Colombia,769,['225e44b6-df11-422f-ba32-3413d6bcf80c'],20,,,,,,,,,,,,,,,,,Colombia,769,00:00:20.467,Pass,
,,,,,,,,,,,,,,,2.994607,,,,,,,,,,,,,,3e2e7379-f700-4839-8a2b-e026f7ab74b3,35,,,"[40.2, 77.9]",3942416,0,,,,,-0.25373292,,Right Foot,,,,"[99.2, 62.6]",,High Pass,,60.951538,,Incomplete,,Jhon Andrés Córdoba Copete,8817.0,,,,,,1,From Kick Off,Daniel Muñoz Mejía,27423.0,Right Back,2,Colombia,769,"['d396787d-4181-4a51-87d1-00520e8263ec', 'e894867e-87d9-46db-b455-e894af68bc6b']",23,,,,,,,,,,,,,,,,,Colombia,769,00:00:23.512,Pass,
,,,,,,,,,,,,,,,1.278928,,,,,,,,,,,,,,d396787d-4181-4a51-87d1-00520e8263ec,38,,,"[20.9, 17.5]",3942416,0,,,,True,-0.032246884,,,,,,"[27.1, 17.3]",,Low Pass,,6.203225,,,,Erick Javier Davis Grajales,5634.0,,,,,Recovery,1,From Kick Off,Roderick Alonso Miller Molina,22256.0,Left Center Back,2,Colombia,769,"['3e2e7379-f700-4839-8a2b-e026f7ab74b3', '40e5782d-40da-48db-8529-2446b4ce60b9', 'f3b0df00-fc5b-48db-a026-887a7346fdb2']",26,,,,,,,,,,,,,,,,,Panama,798,00:00:26.507,Pass,True
,,,,,,,,,,,,,,,2.071468,,,,,,,,,,,,,,3f8c3cb8-b262-4f28-a8d1-df98725e5bc1,40,,,"[26.9, 17.3]",3942416,0,,,,,0.59171546,,Left Foot,,,,"[45.5, 29.8]",,Ground Pass,,22.410042,,Incomplete,,Christian Jesús Martinez,16637.0,,,,,,1,From Kick Off,Erick Javier Davis Grajales,5634.0,Left Wing Back,2,Colombia,769,"['55065c93-5b83-4811-b7ba-48db03360298', 'b377f600-6750-40e5-a750-7258c01e6155']",27,,,,,,,,,,,,,,,,,Panama,798,00:00:27.786,Pass,
,,,,,,,,,,,,,,,0.522316,,,,,,,,,,,,,,b377f600-6750-40e5-a750-7258c01e6155,42,,,"[74.6, 50.3]",3942416,0,,,,,-1.0847644,,Right Foot,,,,"[77.4, 45.0]",,Ground Pass,,5.994164,,,,Jhon Adolfo Arias Andrade,27277.0,,,,,Recovery,1,From Kick Off,Andrés Mateus Uribe Villa,6193.0,Center Defensive Midfield,2,Colombia,769,"['3f8c3cb8-b262-4f28-a8d1-df98725e5bc1', 'f070b9ee-bfae-4c08-b867-17c92138af77']",29,,,,,,,,,,,,,,,,,Colombia,769,00:00:29.857,Pass,
