50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.761733,,,,,,,,,,,,cd39f238-b626-4cf7-8a78-da04a67a892a,18,,,"[20.6, 38.9]",3939985,0,,,,,1.2827408,,Right Foot,,,,"[27.0, 60.5]",Ground Pass,,22.528204,,,Alistair Johnston,44703.0,,,,,,1,From Kick Off,Moise Bombito,383250.0,Right Center Back,2,Canada,1833,"['09963123-9cfa-400c-a01c-74ec20aef844', 'd59d8af6-0ea2-413c-884c-d24ba84bba34']",14,,,,,,,,,,,,,,,,,Canada,1833,00:00:14.211,Pass,True
,,,,,,,,,,,,,,,,,,3.960175,,,,,,,,,,,,4df107fa-f517-4cb0-86fe-e16459c76e34,21,,,"[31.0, 67.4]",3939985,0,,,,,-0.13173267,,Right Foot,,,,"[111.0, 56.8]",High Pass,,80.699196,Incomplete,,Cyle Larin,16459.0,,,,,,1,From Kick Off,Alistair Johnston,44703.0,Right Back,2,Canada,1833,"['7208498c-64f3-43f1-aefa-b3d517f9b608', '726793ce-194e-485d-97a7-a03b0a8bb87d']",18,,,,,,,,,,,,,,,,,Canada,1833,00:00:18.483,Pass,
,,,,,,,,,,,,,,,,,,1.527784,,,,,,,,,,,,38d3c7a2-314d-4242-861c-357904939b7c,25,,,"[89.5, 80.0]",3939985,0,,,,,-0.38544285,,,,,,"[113.9, 70.1]",High Pass,,26.33192,Incomplete,,Cyle Larin,16459.0,,,,,Throw-in,1,From Throw In,Alistair Johnston,44703.0,Right Back,3,Canada,1833,"['05ac22ce-54b6-49f1-8021-93fe9845ad97', 'c708bd1a-f465-47a6-a024-1739724c04a3']",44,,,,,,,,,,,,,,,,,Canada,1833,00:00:44.722,Pass,
,,,,,,,,,,,,,,,,,,1.578795,,,,,,,,,,,,b9da34d8-6fb4-40b2-92f3-086c172c56a8,28,,,"[107.0, 80.0]",3939985,1,,,,,-1.439542,,,,,,"[111.0, 49.7]",High Pass,,30.562885,Incomplete,,,,,,,,Throw-in,1,From Throw In,Alistair Johnston,44703.0,Right Back,4,Canada,1833,['a0a3502b-da13-47be-b565-6fb5a83ef910'],8,,,,,,,,,,,,,,,,,Canada,1833,00:01:08.655,Pass,
,,,,,,,,,,,,,,,,,,0.982867,,,,,,,,,,,,aafd50bb-9a16-4bde-b538-f932a7917c14,39,,,"[103.7, 66.4]",3939985,2,,,,,1.5467046,,Right Foot,,,,"[103.9, 74.7]",Ground Pass,,8.302409,,,Alistair Johnston,44703.0,,,,,,1,Regular Play,Richie Laryea,16120.0,Right Wing,7,Canada,1833,['c8f0e8f6-eb26-470d-bf7f-afa49a20e2e2'],39,,,,,,,,,,,,,,,,,Canada,1833,00:02:39.465,Pass,
,,,,,,,,,,,,,,,,,,1.159649,,,,,,,,,,,,e701576d-49ac-4eaf-a831-b9d2f8b10408,42,,,"[98.0, 54.5]",3939985,2,,,,,-1.1006658,,Left Foot,,,,"[110.5, 29.9]",High Pass,,27.593658,Incomplete,,,,,,,,,1,Regular Play,Alistair Johnston,44703.0,Right Back,7,Canada,1833,['1486f96e-9be3-4701-b8b4-4c1eeab69aed'],44,,,,,,,,,,,,,,,,,Canada,1833,00:02:44.356,Pass,
,,,,,,,,,,,,,,,,,,1.993354,,,,,,,,,,,,a593ecd8-9fe5-42e5-a515-b6711814cd59,45,,,"[24.8, 39.8]",3939985,2,,,,,0.9991633,,Head,,,,"[35.8, 56.9]",High Pass,,20.332487,Incomplete,,,,,,,,Recovery,1,Regular Play,Víctor Alejandro Dávila Zavala,30944.0,Center Attacking Midfield,7,Canada,1833,['b38efe36-d999-46d9-9e28-38d3e8286360'],46,,,,,,,,,,,,,,,,,Chile,3562,00:02:46.985,Pass,
,,,,,,,,,,,,,,,,,,0.96021,,,,,,,,,,,,06b4c1c6-5693-4e0a-a44a-31d7bab39d06,49,,,"[74.5, 20.1]",3939985,2,,,,,2.5902362,,Left Foot,,,,"[55.8, 31.6]",Ground Pass,,21.953133,,,Derek Cornelius,23760.0,,,,,,1,Regular Play,Alphonso Davies,12365.0,Left Back,7,Canada,1833,['89191ea4-737a-4e7f-b39f-a1a15d2a126d'],50,,,,,,,,,,,,,,,,,Canada,1833,00:02:50.680,Pass,
,,,,,,,,,,,,,,,,,,0.968408,,,,,,,,,,,,27bda748-3810-4435-82fe-76276089098e,52,,,"[49.7, 30.9]",3939985,2,,,,,1.7731179,,Left Foot,,,,"[44.9, 54.3]",Ground Pass,,23.887236,,,Moise Bombito,383250.0,,,,,,1,Regular Play,Derek Cornelius,23760.0,Left Center Back,7,Canada,1833,['ca7b5c67-0963-48b5-8884-ce50ce71d7dc'],52,,,,,,,,,,,,,,,,,Canada,1833,00:02:52.869,Pass,
,,,,,,,,,,,,,,,,,,1.194181,,,,,,,,,,,,ec1daa9b-2b7e-4df5-a847-8c4ecd8e650b,56,,,"[48.5, 59.3]",3939985,2,,,,,0.6629371,,Right Foot,,,,"[63.1, 70.7]",Ground Pass,,18.523499,,,Alistair Johnston,44703.0,,,,,,1,Regular Play,Moise Bombito,383250.0,Right Center Back,7,Canada,1833,['9b44f583-57da-4cae-ad89-cd2107da7a4d'],55,,,,,,,,,,,,,,,,,Canada,1833,00:02:55.362,Pass,
,,,,,,,,,,,,,,,,,,1.045982,,,,,,,,,,,,63abee17-e0eb-49c8-bd19-f14daa8f55ee,59,,,"[66.8, 70.7]",3939985,2,,,,,-0.54694587,,Right Foot,,,,"[87.0, 58.4]",Ground Pass,,23.650158,,,Cyle Larin,16459.0,,,,,,1,Regular Play,Alistair Johnston,44703.0,Right Back,7,Canada,1833,['e304c543-db46-4b03-baa8-9b612309f836'],57,,,,,,,,,,,,,,,,,Canada,1833,00:02:57.884,Pass,
,,,,,,,,,,,,,,,,,,0.780895,,,,,,,,,,,,ea1e1891-b0e8-4aa9-9703-c7579569030a,61,,,"[87.0, 57.6]",3939985,2,,,,,-0.7853982,,Right Foot,,,,"[95.1, 49.5]",Ground Pass,,11.45513,,,Jonathan David,23640.0,,,,,,1,Regular Play,Cyle Larin,16459.0,Center Forward,7,Canada,1833,['041e2129-6d0e-46cc-b2f3-c91e148e098e'],58,,,,,,,,,,,,,,,,,Canada,1833,00:02:58.930,Pass,
,,,,,,,,,,,,,,,,,,1.140853,,,,,,,,,,,,ce881e9c-a54f-4b9f-80cb-aec6bd43d3e7,65,,,"[93.7, 49.7]",3939985,3,,,,,1.8989162,,Right Foot,,,,"[90.5, 59.1]",Ground Pass,,9.929753,,,Jonathan Osorio,12770.0,,,,,,1,Regular Play,Jonathan David,23640.0,Center Attacking Midfield,7,Canada,1833,"['3f9d2805-9f00-4f25-9828-cd1bb45b93c8', 'b0c4a8c3-89f0-4f1b-a384-842c822c80c0']",1,,,,,,,,,,,,,,,,,Canada,1833,00:03:01.320,Pass,True
,,,,,,,,,,,,,,,,,,0.853393,,,,,,,,,,,,0b683b2d-7096-46c3-9b41-bcfb20cc6082,67,,,"[90.5, 59.1]",3939985,3,,,,,-0.15660188,,Right Foot,,,,"[109.5, 56.1]",Ground Pass,,19.235384,,,Richie Laryea,16120.0,,,,,,1,Regular Play,Jonathan Osorio,12770.0,Right Defensive Midfield,7,Canada,1833,['14eba556-8095-45d8-bb1b-d264a833f313'],2,,,,,,,,,,,,,,,,,Canada,1833,00:03:02.461,Pass,
,,,,,,,,,,,,,,,,,,0.961512,,,,,,,,,,,,26d697bc-2b75-403a-8bd8-8ed0caa1faf5,72,,,"[120.0, 80.0]",3939985,3,,,,,-1.7716236,,Left Foot,,,,"[114.3, 52.0]",High Pass,True,28.57429,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Alphonso Davies,12365.0,Left Back,8,Canada,1833,['8bddee74-c2dc-4a9f-b4ec-820ef36ebaa7'],33,,,,,,,,,,,,,,,,,Canada,1833,00:03:33.791,Pass,
,,,,,,,,,,,,,,,,,,0.853712,,,,,,,,,,,,f5dd7268-e062-430c-9b95-7f60492f5b79,76,,,"[120.0, 80.0]",3939985,4,,,,,-1.7747022,,Left Foot,,,,"[113.9, 50.5]",High Pass,True,30.124077,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Alphonso Davies,12365.0,Left Back,9,Canada,1833,['0fc59950-8468-4bad-ba15-dcfbce959ea0'],32,,,,,,,,,,,,,,,,,Canada,1833,00:04:32.457,Pass,
,,,,,,,,,,,,,,,,,,1.279331,,,,,,,,,,,,c886b66b-ed3e-4f09-803e-7112d5b45eef,81,,,"[91.2, 53.6]",3939985,4,,,,True,1.2732346,,,,,,"[95.8, 68.6]",High Pass,,15.6894865,Incomplete,,Alphonso Davies,12365.0,,,,,Recovery,1,From Corner,Jacob Shaffelburg,26152.0,Left Wing,9,Canada,1833,"['0eebc1d5-4499-4611-8d20-039b5b3e3d74', '243b96be-98de-4e06-9e96-52286c2ed6e7', 'b3ba6f9a-2858-48c4-99f1-0c2e3f393bf7']",38,,,,,,,,,,,,,,,,,Canada,1833,00:04:38.836,Pass,True
,,,,,,,,,,,,,,,,,,4.391084,,,,,,,,,,,,243b96be-98de-4e06-9e96-52286c2ed6e7,83,,,"[24.3, 11.5]",3939985,4,,,,,-0.028231699,,Left Foot,,,,"[84.5, 9.8]",High Pass,,60.224,Incomplete,,,,,,,,Recovery,1,From Corner,Darío Esteban Osorio Osorio,204925.0,Right Wing,9,Canada,1833,"['9102d0e5-cce4-4371-9192-ecaaa28ecbac', 'c886b66b-ed3e-4f09-803e-7112d5b45eef']",40,,,,,,,,,,,,,,,,,Chile,3562,00:04:40.115,Pass,
,,,,,,,,,,,,,,,,,,1.075274,,,,,,,,,,,,640689b9-f82a-4eb9-a58d-6a3f93ba486b,89,,,"[22.0, 73.6]",3939985,4,,True,,,0.07841034,,Right Foot,,,,"[36.0, 74.7]",Ground Pass,,14.043148,,,Alistair Johnston,44703.0,,,,,Free Kick,1,From Free Kick,Richie Laryea,16120.0,Right Wing,10,Canada,1833,['368d619c-c595-4424-9d96-84770649a7a1'],50,,,,,,,,,,,,,,,,,Canada,1833,00:04:50.362,Pass,
