50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.37557,,,,,,,,,,,,,a22055c9-c1a6-4e66-b6d9-3b3367fafc49,1464,,,"[50.3, 75.7]",3942415,49,,,,,-0.6374195,,Right Foot,,,"[87.3, 48.3]",High Pass,,46.04085,,Incomplete,,Darwin Gabriel Núñez Ribeiro,32478.0,,,,,,,2,Regular Play,Nahitan Michel Nández Acosta,5247.0,Right Back,95,Uruguay,783,"['48d12988-7e23-49ea-9d34-f531b7709579', '9e8e71e9-b53b-4f31-9ed6-31064fac642c']",4,,,,,,,,,,,,,,,,,Uruguay,783,00:04:04.213,Pass,
,,,,,,,,,,,,,,,,,2.208662,,,,,,,,,,,,,68e34cf7-8592-49b0-8de9-eaf52be031dc,1469,,,"[31.5, 33.1]",3942415,49,,,,,1.3674324,,Left Foot,,,"[38.8, 68.5]",Ground Pass,,36.144848,,,,Danilo Luiz da Silva,3063.0,,,,,,,2,Regular Play,Éder Gabriel Militão,13620.0,Right Center Back,96,Brazil,781,"['2e71e379-9653-4d1f-a616-07cda2883d4e', '528facf4-2c05-42f9-9674-48435469b999']",8,,,,,,,,,,,,,,,,,Brazil,781,00:04:08.208,Pass,True
,,,,,,,,,,,,,,,,,1.001597,,,,,,,,,,,,,7b5515a2-479a-4ec8-8b83-998711515e03,1472,,,"[45.0, 68.0]",3942415,49,,,,,-0.347767,,Right Foot,,,"[61.0, 62.2]",Ground Pass,,17.018812,,,,Raphael Dias Belloli,10595.0,,,,,,,2,Regular Play,Danilo Luiz da Silva,3063.0,Right Back,96,Brazil,781,['3718c3e4-ebf4-4892-867e-ceb98fba371e'],12,,,,,,,,,,,,,,,,,Brazil,781,00:04:12.135,Pass,
,,,,,,,,,,,,,,,,,1.886196,,,,,,,,,,,,,2898706e-698f-44f6-bd8b-e94c4f509601,1474,,,"[61.1, 61.4]",3942415,49,,,,,0.80294025,,Left Foot,,,"[72.3, 73.0]",Ground Pass,,16.124516,,Incomplete,,,,,,,,,,2,Regular Play,Raphael Dias Belloli,10595.0,Right Wing,96,Brazil,781,['69753d97-e338-408f-83b0-88ce16fc0a47'],13,,,,,,,,,,,,,,,,,Brazil,781,00:04:13.137,Pass,
,,,,,,,,,,,,,,,,,2.010249,,,,,,,,,,,,,02e63bcd-0d39-4ab0-9283-9ef5d48ce6df,1477,,,"[39.9, 18.4]",3942415,49,,,,,2.8739762,,Left Foot,,,"[27.5, 21.8]",Ground Pass,,12.857682,,,,Sebastián Enzo Cáceres Ramos,35690.0,,,,,,,2,Regular Play,Mathías Olivera Miramontes,7104.0,Left Back,97,Uruguay,783,['56901a55-be28-42b7-aefc-960613b37d8d'],18,,,,,,,,,,,,,,,,,Uruguay,783,00:04:18.641,Pass,
,,,,,,,,,,,,,,,,,1.578858,,,,,,,,,,,,,2003204a-533b-40d5-aa69-c6154aede850,1480,,,"[27.2, 23.4]",3942415,49,,,,,1.5870816,,Right Foot,,,"[26.7, 54.1]",Ground Pass,,30.704071,,,,José María Giménez de Vargas,5259.0,,,,,,,2,Regular Play,Sebastián Enzo Cáceres Ramos,35690.0,Left Center Back,97,Uruguay,783,['eb938146-f9b6-4801-ac9b-22e6d3924a61'],21,,,,,,,,,,,,,,,,,Uruguay,783,00:04:21.944,Pass,
,,,,,,,,,,,,,,,,,1.131865,,,,,,,,,,,,,9666696c-f11c-4719-b330-3f92e29afd15,1483,,,"[38.0, 55.2]",3942415,49,,,,,-1.3180759,,Right Foot,,,"[42.7, 37.0]",Ground Pass,,18.797073,,,,Manuel Ugarte Ribeiro,36659.0,,,,,,,2,Regular Play,José María Giménez de Vargas,5259.0,Right Center Back,97,Uruguay,783,['e185d211-3282-4ad3-8f17-5181c91d2197'],27,,,,,,,,,,,,,,,,,Uruguay,783,00:04:27.865,Pass,
,,,,,,,,,,,,,,,,,1.696884,,,,,,,,,,,,,e08a68ad-feec-4ccd-86fa-3106dd6bbbd0,1486,,,"[39.3, 37.6]",3942415,49,,,,,1.5112338,,Right Foot,,,"[40.6, 59.4]",Ground Pass,,21.838728,,,,José María Giménez de Vargas,5259.0,,,,,,,2,Regular Play,Manuel Ugarte Ribeiro,36659.0,Center Defensive Midfield,97,Uruguay,783,['2b53a7cf-5216-4e8f-88cb-4c0e18ff0ed8'],30,,,,,,,,,,,,,,,,,Uruguay,783,00:04:30.932,Pass,
,,,,,,,,,,,,,,,,,1.414642,,,,,,,,,,,,,625a28e3-9c3b-4af5-ac67-ff710bcc754c,1489,,,"[43.6, 61.4]",3942415,49,,,,,-0.53581125,,Right Foot,,,"[56.4, 53.8]",Ground Pass,,14.886235,,,,Manuel Ugarte Ribeiro,36659.0,,,,,,,2,Regular Play,José María Giménez de Vargas,5259.0,Right Center Back,97,Uruguay,783,['fe4c93af-a3c2-40ee-b38a-1268c8b5bb4f'],33,,,,,,,,,,,,,,,,,Uruguay,783,00:04:33.969,Pass,
,,,,,,,,,,,,,,,,,1.25306,,,,,,,,,,,,,d73127bb-72f7-4087-aa9c-330872aefd25,1493,,,"[59.5, 56.0]",3942415,49,,,,,1.0555048,,Right Foot,,,"[70.6, 75.6]",Ground Pass,,22.524876,,,,Nahitan Michel Nández Acosta,5247.0,,,,,,,2,Regular Play,Manuel Ugarte Ribeiro,36659.0,Center Defensive Midfield,97,Uruguay,783,"['052ebb40-3928-4d9b-b8b4-16cfeb091468', '33e05f32-7c47-42f4-88bb-c99d2e1f5076']",36,,,,,,,,,,,,,,,,,Uruguay,783,00:04:36.665,Pass,True
