50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[8.3, 39.7]",,,,,,,,,,,,,1.083797,,,,,,,,,,,,,a4e587bc-7953-443b-bcab-25c5868f67ff,984,,"[7.1, 37.3]",3939989,30,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Orlando Mosquera,104179.0,Goalkeeper,49,Panama,798,"['33e7a91b-9764-4262-9a63-4b6af00d9dbd', '4614eeb1-eba0-4e4d-93d9-2d050874d43e']",7,,,,,,,,,,,,,,,,,,Panama,798,00:30:07.017,Carry,
,,,,,,"[22.5, 60.5]",,,,,,,,,,,,,2.140689,,,,,,,,,,,,,4c640a31-ebda-4a6f-a70f-375162b60fec,987,,"[16.8, 59.1]",3939989,30,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Edgardo Isaac Fariña Wynter,260212.0,Right Center Back,49,Panama,798,"['1b8aac4c-72e8-4198-9631-fbde783558a5', '2732e72d-6d91-41f1-82cc-9f7aade287e9']",9,,,,,,,,,,,,,,,,,,Panama,798,00:30:09.550,Carry,
,,,,,,"[77.1, 6.9]",,,,,,,,,,,,,1.348928,,,,,,,,,,,,,1db81f95-4f16-4532-b341-8d20516b630a,992,,"[79.0, 10.2]",3939989,30,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Christian Jesús Martinez,16637.0,Right Defensive Midfield,49,Panama,798,"['9f1b6a0d-29a0-4617-ba41-4ce369a77d9f', 'e2c49788-5405-4a82-9cb8-96a58ec19aa7']",15,,,,,,,,,,,,,,,,,,Panama,798,00:30:15.668,Carry,
,,,,,,"[16.4, 76.5]",,,,,,,,,,,,,4.342437,,,,,,,,,,,,,e7493d78-6b38-4287-89b3-fbda50dfdfe7,1005,,"[34.5, 78.0]",3939989,31,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Yomar Rene Rocha Rodriguez,367353.0,Right Wing Back,51,Bolivia,3564,"['73d7ac19-a11a-412e-aba6-55e40edb1d1e', '915a5d4b-9f9c-41b9-b5e9-7906d1723ff2']",45,,,,,,,,,,,,,,,,,,Bolivia,3564,00:31:45.781,Carry,
,,,,,,"[45.1, 36.4]",,,,,,,,,,,,,5.989065,,,,,,,,,,,,,5a34590f-500d-4881-a71b-00592d13434f,1011,,"[55.9, 28.7]",3939989,31,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,José Ángel Córdoba Chambers,223971.0,Center Back,52,Panama,798,"['48d7debe-9ad1-42e4-95be-83e40ebc6179', 'efdbaf1c-db7d-4160-a115-5e444c7d118b']",53,,,,,,,,,,,,,,,,,,Panama,798,00:31:53.945,Carry,
,,,,,,"[44.7, 10.7]",,,,,,,,,,,,,0.18193,,,,,,,,,,,,,46dfdcf9-62e2-42f0-99c6-aac680d70e7a,1014,,"[44.4, 10.7]",3939989,32,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carlos Miguel Harvey Cesneros,34148.0,Left Center Back,52,Panama,798,"['1bb4acc7-a0d2-40da-9f4e-65714d4a5efc', 'c9287ebd-64ff-4f1f-9c16-47f61bda06eb']",1,,,,,,,,,,,,,,,,,,Panama,798,00:32:01.565,Carry,
,,,,,,"[54.2, 2.4]",,,,,,,,,,,,,0.518265,,,,,,,,,,,,,d51c52b4-ce6b-4695-a8d3-6d64d565101e,1017,,"[54.2, 2.4]",3939989,32,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Erick Javier Davis Grajales,5634.0,Left Wing Back,52,Panama,798,"['21cd8a4c-8fb4-4fc7-a7d9-a9490eaf6926', 'dd035849-5eea-4a3e-8c2f-934623529ae4']",3,,,,,,,,,,,,,,,,,,Panama,798,00:32:03.254,Carry,
,,,,,,"[47.0, 14.9]",,,,,,,,,,,,,2.079063,,,,,,,,,,,,,54477304-3c4c-439d-9b81-d89ada6f20c8,1020,,"[39.7, 5.2]",3939989,32,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carlos Miguel Harvey Cesneros,34148.0,Left Center Back,52,Panama,798,"['2f9550be-9d72-4d8a-8054-95eb3effc842', '9f5d32d4-60ed-41e4-b939-e90fc558f647']",5,,,,,,,,,,,,,,,,,,Panama,798,00:32:05.787,Carry,
,,,,,,"[88.7, 74.7]",,,,,,,,,,,,,1.316351,,,,,,,,,,,,,a895ce4e-d58d-4673-b913-efc58deec9b9,1023,,"[91.5, 74.9]",3939989,32,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,César Rodolfo Blackman Camarena,44305.0,Right Wing,52,Panama,798,"['0b1b3307-5c37-4b2e-becb-7ffde5fb9be3', '3ba51b46-b986-4348-8a74-8673b0cec3ca', 'cbe7e659-7753-47bc-85c6-bb37927bc637']",11,,,,,,,,,,,,,,,,,,Panama,798,00:32:11.568,Carry,True
,,,,,,"[71.4, 73.6]",,,,,,,,,,,,,0.530216,,,,,,,,,,,,,d0b22af3-1578-48fe-9210-e5a03c89266a,1028,,"[70.9, 72.3]",3939989,32,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Michael Amir Murillo Bermudez,5641.0,Right Wing Back,52,Panama,798,"['1a6a156d-b0b8-491d-89e4-d76b90924205', 'd13a2848-a6cd-4f09-9cbb-4ce0fab870ca', 'd32a38d0-4e0e-4aa0-8dfe-a22c959e376f']",14,,,,,,,,,,,,,,,,,,Panama,798,00:32:14.124,Carry,True
