50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9d2dab61-230a-481f-ae47-f19ffd8b3905,1,,,,3939991,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 13620, 'name': 'Éder Gabriel Militão'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8212, 'name': 'Wendell Nascimento Borges'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 48720, 'name': 'João Victor Gomes da Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 25142, 'name': 'Bruno Guimarães Rodriguez Moura'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 10595, 'name': 'Raphael Dias Belloli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 22600, 'name': 'Lucas Tolentino Coelho de Lima'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 18395, 'name': 'Vinícius José Paixão de Oliveira Júnior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 25104, 'name': 'Rodrygo Silva de Goes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Brazil,781,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1c7e4d40-ff94-4205-8b86-f332808af347,2,,,,3939991,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 27225, 'name': 'Camilo Andrés Vargas Gil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 27423, 'name': 'Daniel Muñoz Mejía'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 3494, 'name': 'Davinson Sánchez Mina'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 28567, 'name': 'Carlos Eccehomo Cuesta Figueroa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 27473, 'name': 'Deiver Andrés Machado Mena'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 49395, 'name': 'Richard Rios Montoya'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 27277, 'name': 'Jhon Adolfo Arias Andrade'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 8817, 'name': 'Jhon Andrés Córdoba Copete'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 27158, 'name': 'Luis Fernando Díaz Marulanda'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Colombia,769,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,be1afd67-90b6-440d-821c-e19fceb7a709,3,,,,3939991,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['d5409044-65cd-4fe2-a846-81a213916c95'],0,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d5409044-65cd-4fe2-a846-81a213916c95,4,,,,3939991,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['be1afd67-90b6-440d-821c-e19fceb7a709'],0,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f1afd3a0-9826-47c7-a113-16871b2dd7d4,1465,,,,3939991,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Brazil,781,['4237c6ce-835b-4578-99f3-ef09d542f32b'],0,,,,,,,,,,,,,,,,Colombia,769,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4237c6ce-835b-4578-99f3-ef09d542f32b,1466,,,,3939991,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Brazil,781,['f1afd3a0-9826-47c7-a113-16871b2dd7d4'],0,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.843052,,,,,,,,,,,,,65785914-94fa-48b8-a4dc-1389aa52f401,5,,,"[61.0, 40.1]",3939991,0,,,,,2.8545103,,Right Foot,,,,"[50.5, 43.2]",Ground Pass,,10.948059,,,James David Rodríguez Rubio,5695.0,,,,,Kick Off,1,From Kick Off,Jhon Andrés Córdoba Copete,8817.0,Right Center Forward,2,Colombia,769,['253ce3d1-1dda-4def-8fbe-797c9e46adbe'],4,,,,,,,,,,,,,,,,Colombia,769,00:00:04.033,Pass,
,,,,,,,,,,,,,,,,,,,,0.701945,,,,,,,,,,,,,4927d37e-2af8-4777-adc6-7360e5d17bc9,8,,,"[54.6, 44.4]",3939991,0,,,,,2.052875,,Left Foot,,,,"[50.1, 53.0]",Ground Pass,,9.706183,,,Richard Rios Montoya,49395.0,,,,,,1,From Kick Off,James David Rodríguez Rubio,5695.0,Center Attacking Midfield,2,Colombia,769,['0b1b8622-d09a-4e91-9863-0ec049bf8d96'],6,,,,,,,,,,,,,,,,Colombia,769,00:00:06.184,Pass,
,,,,,,,,,,,,,,,,,,,,2.576382,,,,,,,,,,,,,247c10df-153d-443b-91f7-a07407971f91,12,,,"[48.1, 54.7]",3939991,0,,,,,-2.247834,,Right Foot,,,,"[26.8, 28.2]",Ground Pass,,33.99912,,,Carlos Eccehomo Cuesta Figueroa,28567.0,,,,,,1,From Kick Off,Richard Rios Montoya,49395.0,Right Center Midfield,2,Colombia,769,['81560eda-3c80-4414-8a9e-485d3fc2f079'],7,,,,,,,,,,,,,,,,Colombia,769,00:00:07.485,Pass,
,,,,,,,,,,,,,,,,,,,,1.477334,,,,,,,,,,,,,dd024fc8-f99a-4248-a1d3-83b446c3f098,15,,,"[27.8, 23.9]",3939991,0,,,,,-1.1602901,,Right Foot,,,,"[36.2, 4.6]",Ground Pass,,21.048754,,,Deiver Andrés Machado Mena,27473.0,,,,,,1,From Kick Off,Carlos Eccehomo Cuesta Figueroa,28567.0,Left Center Back,2,Colombia,769,['e2339eef-8d16-42ac-a41d-ac9d3092435d'],10,,,,,,,,,,,,,,,,Colombia,769,00:00:10.702,Pass,
